Name of Facility,Location Street,Location City,Location State,ZIP Code,County,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,# of Licensed Beds,Max # of Beds,X,Y,Permit Type,x,y
MILL CREEK MANOR,651 POLO RD,COLUMBIA,SC,29223-2905,Richland,803-788-9555,"JOLLY, STEVE PH#: 843-801-4282",GILLES.OUELLETTE@MAINSTAYFINANCIAL.COM,,CRC-2174 / 10/31/2021,Richland / Limited Liability,,,,,MAINSTAY HEALTHCARE MILL CREEK LLC,N,N,59,,-80.891944,34.092572,HLRESIDENTIALCARE,509967.9617,3772425.47
MILL STREET COMMUNITY RESIDENCE,415 MILL ST,LAURENS,SC,29360-1905,Laurens,864-984-3506,"TAVENNER, JASON PH#: 864-984-3506",KMCGOWAN@LCDSNB.ORG,JTAVENNER@LCDSNB.ORG,CRC-1419 / 12/31/2021,Laurens / Non-Profit Corporation,1860 HWY 14,LAURENS,SC,29360-1068,LAURENS COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-82.00547124,34.50656456,HLRESIDENTIALCARE,407700.0014,3818783.997
MILLER PLACE RESIDENTIAL CARE,140 COX ST,SPARTANBURG,SC,29306-4807,Spartanburg,864-573-7008,"MILLER, JACKIE PH#: 864-494-8693",LAMAR@MILLERPLACESC.COM,,CRC-2166 / 02/28/2022,Spartanburg / Partnership,,,,,FRANK HENDERSON & EDWARD HARRISON,N,N,19,,-81.930064,34.917964,HLRESIDENTIALCARE,415044.3019,3864340.319
MIRCI GROUP HOME I,581 BECKMAN RD,COLUMBIA,SC,29203-3207,Richland,803-754-4221,"COLLINS, TIFFANY R. PH#: 803-754-8894",JAVIN@MIRCI.ORG,TCOLLINS@MIRCI.ORG,CRC-1443 / 06/30/2021,Richland / Corporation,1408 GREGG ST,COLUMBIA,SC,29201,MENTAL ILLNESS RECOVERY CENTER INC,N,N,6,6,-80.99371764,34.08179543,HLRESIDENTIALCARE,500579.6058,3771225.371
MIRCI GROUP HOME II,611 BECKMAN RD,COLUMBIA,SC,29203-3282,Richland,803-754-8894,"COLLINS, TIFFANY R. PH#: 803-754-8894",TCOLLINS@MIRCI.ORG,TCOLLINS@MIRCI.ORG,CRC-1444 / 06/30/2021,Richland / Corporation,1408 GREGG ST,COLUMBIA,SC,29201,MENTAL ILLNESS RECOVERY CENTER INC,N,N,6,6,-80.99487706,34.08112215,HLRESIDENTIALCARE,500472.6419,3771150.712
MORNINGSIDE OF ANDERSON,1304 MCLEES RD,ANDERSON,SC,29621-3345,Anderson,864-964-9088, PH#: ,LICENSING@5SSL.COM,,CRC-2132 / 01/31/2022,Anderson / Limited Liability,,,,,SNH SC TENANT LLC,N,Y,88,,-82.630424,34.525972,HLRESIDENTIALCARE,350361.0259,3821684.162
MORNINGSIDE OF BEAUFORT,109 OLD SALEM RD,BEAUFORT,SC,29902-5113,Beaufort,843-982-0220,"SIEGNER, TAMATHE J. PH#: 843-982-0220",TSIEGNER@5SSL.COM,TSIEGNER@5SSL.COM,CRC-2130 / 01/31/2022,Beaufort / Limited Liability,,,,,SNH SC TENANT LLC,N,N,49,,-80.713423,32.426299,HLRESIDENTIALCARE,526942.9253,3587725.487
MORNINGSIDE OF CAMDEN,715 KERSHAW HWY,CAMDEN,SC,29020-1634,Kershaw,803-713-8668,"SELLERS, CRYSTAL J. PH#: 803-713-8668",CJHOWELL@5SSL.COM,CJHOWELL@5SSL.COM,CRC-2133 / 01/31/2022,Kershaw / Limited Liability,,,,,SNH SC TENANT LLC,N,N,49,,-80.611492,34.29149,HLRESIDENTIALCARE,535755.0696,3794544.857
MORNINGSIDE OF GREENWOOD,116 ENTERPRISE CT,GREENWOOD,SC,29649-1666,Greenwood,864-388-9433,"ERVIN, JESSICA PH#: 864-388-9433",LICENSING@5SSL.COM,JERVIN@5SSL.COM,CRC-2131 / 01/31/2022,Greenwood / Limited Liability,,,,,SNH SC TENANT LLC,N,N,49,,-82.16408,34.215145,HLRESIDENTIALCARE,392768.8721,3786623.844
MORNINGSIDE OF HARTSVILLE,1901 W CAROLINA AVE,HARTSVILLE,SC,29550-4701,Darlington,843-857-0159, PH#: ,JFLICK@5SSL.COM,,CRC-2128 / 01/31/2022,Darlington / Limited Liability,,,,,SNH SC TENANT LLC,Y,Y,54,,-80.123997,34.364772,HLRESIDENTIALCARE,580550.7806,3802949.949
MORNINGSIDE OF LANCASTER,1004 HARDIN ST,LANCASTER,SC,29720-1609,Lancaster,803-801-1288,"HEMPHILL, TREVONDA PH#: 803-283-8152",LICENSING@5SSL.COM,THEMPHILL@5SSL.COM,CRC-1146 / 03/31/2021,Lancaster / Limited Liability Limited Partnership,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,MORNINGSIDE OF SOUTH CAROLINA LP,Y,Y,65,65,-80.78661668,34.74418965,HLRESIDENTIALCARE,519532.0011,3844695.996
MORNINGSIDE OF LEXINGTON,218 OLD CHAPIN RD,LEXINGTON,SC,29072-2030,Lexington,803-957-3600,"DEVAUGHN, TRACY PH#: 803-787-1234",LICENSING@5SSL.COM,TDEVAUGHN@5SSL.COM,CRC-2126 / 01/31/2022,Lexington / Limited Liability,,,,,SNH SC TENANT LLC,N,N,49,,-81.247121,33.993301,HLRESIDENTIALCARE,477177.172,3761440.765
MORNINGSIDE OF ORANGEBURG,2306 RIVERBANK DR,ORANGEBURG,SC,29118-4046,Orangeburg,803-539-2911,"BRUNSON, ROBIN PH#: 803-539-2911",RMBRUNSON@5SSL.COM,RMBRUNSON@5SSL.COM,CRC-2129 / 01/31/2022,Orangeburg / Limited Liability,,,,,SNH SC TENANT LLC,N,N,49,,-80.895706,33.511908,HLRESIDENTIALCARE,509686.1288,3708044.297
MORNINGSIDE OF ROCK HILL,1830 W MAIN ST,ROCK HILL,SC,29732-8965,York,803-980-4100, PH#: ,WLONG@5SSL.COM,,CRC-1114 / 08/31/2021,York / Limited Liability Limited Partnership,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,MORNINGSIDE OF SOUTH CAROLINA LP,N,N,60,60,-81.06294681,34.94277616,HLRESIDENTIALCARE,494252.0035,3866698.996
MORNINGSIDE OF SENECA,15855 WELLS HWY,SENECA,SC,29678-1078,Oconee,864-888-8886,"CAPPELLA, SAMANTHA PH#: ",LICENSING@5SSL.COM,SCAPPELLA@5SSL.COM,CRC-2127 / 01/31/2022,Oconee / Limited Liability,,,,,SNH SC TENANT LLC,N,N,59,,-82.990543,34.682958,HLRESIDENTIALCARE,317648.8729,3839688.105
MORNINGSIDE OF SUMTER,2500 LIN-DO CT,SUMTER,SC,29150-1832,Sumter,803-469-4490, PH#: ,LICENSING@5SSL.COM,,CRC-1079 / 04/30/2021,Sumter / Limited Liability Limited Partnership,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,MORNINGSIDE OF SOUTH CAROLINA LP,N,N,55,55,-80.397983,33.95341,HLRESIDENTIALCARE,555625.8204,3757153.453
MOUNT PLEASANT GARDENS,1025 HUNGRYNECK BLVD,MOUNT PLEASANT,SC,29464,Charleston,843-216-1001, PH#: ,MOUNTPLEASANTGARDENS-ADM@JEASENIORLIVING,,CRC-1984 / 06/30/2021,Charleston / Limited Liability,1025 HUNGRYNECK BLVD,MOUNT PLEASANT,SC,29464,MOUNT PLEASANT MANAGEMENT LLC,Y,Y,71,,-79.83753789,32.81968335,HLRESIDENTIALCARE,608815.8223,3631895.657
MY FATHER'S HOUSE,22 LARNES ST,CHARLESTON,SC,29403-2636,Charleston,843-723-7889,"STENT, JOSEPHINE I. PH#: 843-723-7889",EMCCREA@BELLSOUTH.NET,JSTENT@BELLSOUTH.NET,CRC-0459 / 02/28/2022,Charleston / Partnership,222 GORDON ST,CHARLESTON,SC,29403,JOSEPHINE STENT & ELOISE CHESTNUT,N,N,10,11,-79.95038129,32.79532755,HLRESIDENTIALCARE,598279.0573,3629084.927
MY MOTHER'S KEEPER,1609 HWY 41,MOUNT PLEASANT,SC,29464,Charleston,843-884-8867,"JACKSON, JACQUELYN M. PH#: 843-870-1839",MYMOTHERSKEEPER1@AOL.COM,MYMOTHERSKEEP1@AOL.COM,CRC-1840 / 02/28/2022,Charleston / Sole Proprietorship,,,,,MY MOTHERS KEEPER LLC,N,N,8,,-79.810259,32.881611,HLRESIDENTIALCARE,611292.2419,3638789.812
MYERS RESIDENTIAL CARE FACILITY,365 CALDON RD,SWANSEA,SC,29160-9541,Calhoun,803-568-3582,"MYERS, MARY L. PH#: 803-568-3582",MYERSRCF@PBTCOMM.NET,MYERSRCF@PBTCOMM.NET,CRC-0644 / 08/31/2021,Calhoun / Partnership,365 CALDON RD,SWANSEA,SC,29160-9541,LOUISE AND DAVID MYERS JR,N,N,5,6,-81.03829662,33.7052714,HLRESIDENTIALCARE,496451.223,3729478.497
MYERS RESIDENTIAL CARE FACILITY II,365 CALDON RD,SWANSEA,SC,29160-9541,Calhoun,803-568-3582,"MYERS, MARY LOUISE PH#: 803-568-3582",MYERSRCF@PBTCOMM.NET,MYERSRCF@PBTCOMM.NET,CRC-0851 / 01/31/2022,Calhoun / Partnership,365 CALDON RD,SWANSEA,SC,29160-9541,LOUISE AND DAVID MYERS JR,N,N,7,7,-81.03829565,33.70526237,HLRESIDENTIALCARE,496451.3124,3729477.495
MYRTLE BEACH ESTATES,3620 HAPPY WOODS CT,MYRTLE BEACH,SC,29588-2925,Horry,843-293-8888,"CRAWFORD, BRYAN PH#: 843-293-8888",TERRI.BAKER@JEASENIORLIVING.COM,BCRAWFORD@CAPITALSENIORLIVING.NET,CRC-1403 / 11/30/2021,Horry / Corporation,3620 HAPPY WOODS CT,MYRTLE BEACH,SC,29588-2925,CSL LEASECO INC,Y,Y,142,142,-78.97096118,33.67066638,HLRESIDENTIALCARE,688112.6226,3727488.248
MYRTLE BEACH MANOR RETIREMENT COMMUNITY,9547 HWY 17 N,MYRTLE BEACH,SC,29572-0000,Horry,843-449-5283, PH#: ,LICENSING@5SSL.COM,,CRC-2123 / 01/31/2022,Horry / Limited Liability,,,,,SNH SC TENANT LLC,Y,Y,111,,-78.798224,33.775337,HLRESIDENTIALCARE,703882.3964,3739424.716
NEW BEGINNINGS OF PINEVILLE,212 MITCHELLBAY LN,PINEVILLE,SC,29468-3200,Berkeley,843-351-2240,"RAVENELL, HELEN W. PH#: 843-351-2240",NEW.BEGINNINGS@TDS.NET,NEW.BEGINNINGS@TDS.NET,CRC-1521 / 04/30/2022,Berkeley / Corporation,,,,,NEW BEGININGS RESIDENTIAL CARE FACILITY,N,N,4,,-80.04276054,33.42092291,HLRESIDENTIALCARE,588995.9465,3698361.569
NEW HAVEN,2585 HWY 179,LITTLE RIVER,SC,29566,Horry,843-491-9290,"DOUGLASS, KATHLEEN PH#: ",BGODARD@COMPASSRE.COM,,CRC-2039 / 02/28/2022,Horry / ,,,,,BFG COMPASS LITTLE RIVER PROPCO IV LLC,Y,Y,90,,-78.587687,33.890729,HLRESIDENTIALCARE,723081.911,3752659.939
NEW LIGHT COMMUNITY CARE,120 ADDY LN,LEXINGTON,SC,29072-3405,Lexington,803-490-1428,"ANDERSON, VALENCIA W. PH#: 803-490-1428",NEWLIGHTCRF@YAHOO.COM,NEWLIGHTCRF@YAHOO.COM,CRC-1958 / 03/31/2022,Lexington / Non-Profit Corporation,316 HUNTERS RIDGE DR,LEXINGTON,SC,29072,NEW LIGHT COMMUNITY RESOURCE FOUNDATION,N,N,14,,-81.237385,33.978203,HLRESIDENTIALCARE,478072.5074,3759764.566
NORTH HAVEN RESIDENTIAL CARE HOME,4326 LESLIE ST,NORTH CHARLESTON,SC,29418-5441,Charleston,843-767-2541,"LANGIT, LEONORA D. PH#: 843-767-2541",NORAALFLLC@YAHOO.COM,NORAALFLLC@YAHOO.COM,CRC-0877 / 08/31/2021,Charleston / Corporation,4326 LESLIE ST,NORTH CHARLESTON,SC,29418-5441,NORTH HAVEN RESIDENTIAL CARE HOME INC,N,Y,16,18,-80.05199993,32.865,HLRESIDENTIALCARE,588694.5137,3636719.197
NORTH PINES COMMUNITY RESIDENCE,313 N PINES RD,BLYTHEWOOD,SC,29016-8788,Richland,803-754-6213,"LOCKHART, ELESHA J. PH#: 803-754-6213",C.WRIGHT@CHESCOSERVICES.ORG,E.LOCKHART@CHESCOSERVICES.ORG,CRC-1504 / 04/30/2022,Richland / Sole Proprietorship,110 PONTIAC BUSINESS CENTER DR STE C,ELGIN,SC,29045,CHESCO SERVICES,N,N,8,,-80.97881946,34.14871628,HLRESIDENTIALCARE,501952.5617,3778645.746
NORTH POINTE ASSISTED LIVING,701 SIMPSON RD,ANDERSON,SC,29621-3077,Anderson,864-226-5505,"PRESTON, JANE E. PH#: ",JPRESTON@CAPITALSENIORLIVING.NET,,CRC-1454 / 10/31/2021,Anderson / Limited Liability,701 SIMPSON RD,ANDERSON,SC,29621-3077,CSL NORTH POINTE SC LLC,Y,Y,70,70,-82.61267366,34.53521388,HLRESIDENTIALCARE,352006.5636,3822682.945
OAKBRIDGE TERRACE AT PARK POINTE VILLAGE,3025 CHESBROUGH BLVD,ROCK HILL,SC,29732-8078,York,803-327-4723,"LUNOW, MARIE PH#: 803-980-8634",STEVEN.ROBISON@ACTSLIFE.ORG,MLUNOW@ACTSLIFE.ORG,CRC-2030 / 09/30/2021,York / Corporation,3025 CHESBROUGH BLVD,ROCK HILL,SC,29732-8078,ACTS RETIREMENT-LIFE COMMUNITIES INC,N,Y,20,,-81.099979,34.955434,HLRESIDENTIALCARE,490871.94,3868105.496
OAKLEAF VILLAGE OF LEXINGTON,800 N LAKE DR,LEXINGTON,SC,29072-2903,Lexington,803-808-3477,"ELLIOTT, ASHLEY PH#: 803-808-3477",AELLIOTT@LIBERTYSENIORLIVING.COM,AELLIOTT@OAKLEAFSENIORLIVING.COM,CRC-2014 / 09/30/2021,Lexington / Limited Liability,800 N LAKE DR,LEXINGTON,SC,29072-2903,LEXINGTON SENIOR HOUSING I OPCO LLC,Y,Y,100,,-81.231367,33.992086,HLRESIDENTIALCARE,478631.8332,3761302.663
OAKRIDGE COMMUNITY CARE HOME #1,2470 OLD MILL RD,INMAN,SC,29349-9276,Spartanburg,864-472-6979, PH#: ,OAKRIDGEONE@GMAIL.COM,,CRC-0241 / 08/31/2021,Spartanburg / Corporation,2470 OLD MILL RD,INMAN,SC,29349-9276,OAKRIDGE COMMUNITY CARE HOME INC,N,N,38,39,-82.09751909,35.08569759,HLRESIDENTIALCARE,399952.0019,3883097.498
OAKRIDGE COMMUNITY CARE HOME #2,35 S HOWARD ST,INMAN,SC,29349-1339,Spartanburg,864-621-4958,"COKER, ROBIN S. PH#: 864-708-3299",OAKRIDGEONE@GMAIL.COM,R2958CWF@GMAIL.COM,CRC-0429 / 04/30/2021,Spartanburg / Corporation,107B BROCK ST,INMAN,SC,29349,OAKRIDGE COMMUNITY CARE HOME INC,N,N,10,11,-82.08604006,35.04638856,HLRESIDENTIALCARE,400950.9731,3878726.497
OAKS ASSISTED LIVING,1000 METHODIST OAKS DR,ORANGEBURG,SC,29115-1813,Orangeburg,803-534-1212, PH#: ,CLAY.FOWLERHEALTHCAREENTERPRISE@GMAIL.CO,,CRC-2190 / 03/31/2022,Orangeburg / Limited Liability,,,,,OAKS HEALTHCARE LLC,N,N,40,,-80.86264,33.492052,HLRESIDENTIALCARE,512759.983,3705846.425
OAKS OF LORIS,260 WATSON HERITAGE RD,LORIS,SC,29569,Horry,843-716-4673,"FLICK, JO ANN PH#: 843-716-4673",JOANN@SCSENIORCARE.NET,,CRC-1547 / 06/30/2021,Horry / Corporation,260 WATSON HERITAGE RD,LORIS,SC,29569,PARNERS IN HOPE INC,N,Y,60,,-78.8805054,34.01858633,HLRESIDENTIALCARE,695704.9213,3766242.475
OAKVIEW BOARDING HOME,1818 S LIVE OAK DR,MONCKS CORNER,SC,29461-7216,Berkeley,843-761-3273,"BIASCAN, ERLINDA M. PH#: 843-761-3273",BIASCANA@YAHOO.COM,BIASCANA@YAHOO.COM,CRC-1153 / 04/30/2022,Berkeley / Corporation,1818 S LIVE OAK DR,MONCKS CORNER,SC,29461-7216,OAKVIEW BOARDING HOME INC,N,N,10,11,-80.06215812,33.14452406,HLRESIDENTIALCARE,587467.752,3667700.498
OAKVIEW PARK ASSISTED LIVING,110 HOOD RD,GREENVILLE,SC,29611,Anderson,864-412-8990,"SURLS, ANGELA PH#: 864-653-4676",ASURLS@ATLASSENIORLIVING.COM,ASURLS@ATLASSENIORLIVING.COM,CRC-2064 / 02/28/2022,Anderson / Limited Liability,2700 HWY 280 STE 460E,BIRMINGHAM,AL,35223,AFF18 OAKVIEW PARK ALF LLC,Y,Y,90,,-82.48555862,34.79202844,HLRESIDENTIALCARE,364092.8683,3850985.673
OASIS RESIDENTIAL HOME,2317 PRINCE ST,GEORGETOWN,SC,29440-2925,Georgetown,843-527-4848,"GRAHAM, MAZIE E. PH#: 843-527-4848",OASISINC2001@YAHOO.COM,OASISINC2001@YAHOO.COM,CRC-1219 / 08/31/2021,Georgetown / Corporation,2317 PRINCE ST,GEORGETOWN,SC,29440-2925,OASIS RESIDENTIAL HOME INC,N,N,22,22,-79.30419427,33.37975413,HLRESIDENTIALCARE,657742.1468,3694672.376
OLIVER'S CARE HOME,1200 LAWHORN RD,BLYTHEWOOD,SC,29016-8975,Richland,803-754-3585,"MINGUS, KATHY L. PH#: ",OLIVERCAREHOME1941@GMAIL.COM,,CRC-1480 / 08/31/2021,Richland / Limited Liability,1200 LAWHORN RD,BLYTHEWOOD,SC,29016-8975,OLIVER CARE HOME LLC,N,N,5,,-80.90022306,34.2295243,HLRESIDENTIALCARE,509189.3292,3787610.154
PACIFICA SENIOR LIVING SKYLYN,1705 SKYLN DR,SPARTANBURG,SC,29307,Spartanburg,864-582-6838, PH#: ,ED.SKYLYN@PACIFICASENIORLIVING.COM,,CRC-1950 / 12/31/2021,Spartanburg / Limited Liability,1775 HANCOCK ST STE 200,SAN DIEGO,CA,92110,PACIFICA SKYLYN LLC,Y,Y,169,,-81.891758,34.97971,HLRESIDENTIALCARE,418604.4571,3871156.144
PADD-WREN HOME,2350 REGIONAL RD,FLORENCE,SC,29501-7028,Florence,843-673-1005,"TUMBLESON, KIMBERLY PH#: 843-673-1005",KTUMBLESON@PADDSC.ORG,KIMBERLYTUMBLESON2014@YAHOO.COM,CRC-1451 / 07/31/2021,Florence / Non-Profit Corporation,2350 REGIONAL RD,FLORENCE,SC,29501-7028,PRESBYTERIAN AGENCY FOR THE DEVELOPMENTALLY DISABLED INC,N,N,6,6,-79.81264491,34.23637751,HLRESIDENTIALCARE,609347.9122,3789003.054
PAGELAND CARE FACILITY,206 S GUM ST,PAGELAND,SC,29728-2304,Chesterfield,843-672-5930,"FUNDERBURK, DENNIS R. PH#: 843-672-5930",PAGECARE@SHTC.NET,PAGECARE@SHTC.NET,CRC-0999 / 04/30/2022,Chesterfield / Corporation,206 S GUM ST,PAGELAND,SC,29728-2304,FUNDERBURK ASSOCIATES INC,Y,Y,58,58,-80.3851908,34.77186153,HLRESIDENTIALCARE,556258.0036,3847915.996
PALMETTO GARDENS,425 S WHEELER AVE,PROSPERITY,SC,29127,Newberry,803-364-9113,"PEOPLES, TIFFANY PH#: 803-364-9113",PALMETTOGARDENSRESIDENTIAL@GMAIL.COM,PALMETTOGARDENSRESIDENTIAL@GMAIL.COM,CRC-1916 / 04/30/2022,Newberry / Sole Proprietorship,425 S WHEELER AVE,PROSPERITY,SC,29127,YVONNE HARRISON,N,N,30,,-81.519725,34.213567,HLRESIDENTIALCARE,452124.7765,3785958.326
PALMETTO RESIDENTIAL CARE OF NORTH CHARLESTON,2834 SPRUILL AVE,NORTH CHARLESTON,SC,29405-8051,Charleston,843-566-1509,"LESESNE, CLARA P. PH#: 843-566-1509",PATCH29311@HOTMAIL.COM,PATCH29311@HOTMAIL.COM,CRC-1322 / 08/31/2021,Charleston / Corporation,PO BOX 31774,CHARLESTON,SC,29417-1774,EVERGREEN RESIDENTIAL CARE INC,N,N,12,12,-79.96270728,32.85075893,HLRESIDENTIALCARE,597064.5708,3635218.913
PALMETTO RIDGE ASSISTED LIVING & MEMORY CARE,840 MANOR RD,CHERAW,SC,29520-4035,Chesterfield,843-537-4197,"CAMPBELL, JAMAL CORDE PH#: ",PALMETTORIDGE@YAHOO.COM,PALMETTORIDGE@YAHOO.COM,CRC-1393 / 03/31/2022,Chesterfield / Limited Liability,840 MANOR RD,CHERAW,SC,29520-4035,PALMETTO RIDGE ASSISTED LIVING AND MEMORY CARE LLC,Y,Y,106,106,-79.91543182,34.67660369,HLRESIDENTIALCARE,599358.5527,3837715.668
PALMETTO VILLAGE OF CHESTER,570 CENTER ST,CHESTER,SC,29706-1342,Chester,803-581-7319,"WATTS, GLORIA (SUSIE) F. PH#: 803-581-7319",ATKAZER@GMAIL.COM,SUSIEW570@GMAIL.COM,CRC-1399 / 06/30/2022,Chester / Ltd. Liability,PO BOX 1597,KING,NC,27021,BHM OF CHESTER LLC,N,N,100,100,-81.22661155,34.71957419,HLRESIDENTIALCARE,479251.0019,3841968.997
PALMETTOS OF BLUFFTON,3035 OAKATIE HWY,OKATIE,SC,29909-5101,Beaufort,843-707-9400,"FLOYD, STACY M. PH#: 843-707-9400",STACY.FLOYD@NHCCARE.COM,STACY.FLOYD@NHCCARE.COM,CRC-1648 / 03/31/2022,Beaufort / Limited Liability Company (multiple member),3035 OKATIE HWY,BLUFFTON,SC,29909,PALMETTOS OF BLUFFTON LLC,Y,Y,88,,-80.947212,32.275101,HLRESIDENTIALCARE,504971.2843,3570930.486
PALMETTOS OF CHARLESTON,1900 ASHLEY CROSSING DR,CHARLESTON,SC,29414-5751,Charleston,843-852-0505,"MARTIN, MEGAN W. PH#: 843-852-0505",MEGAN.MARTIN@NHCCARE.COM,MEGAN.MARTIN@NHCCARE.COM,CRC-1263 / 07/31/2021,Charleston / Limited Liability,1900 ASHLEY CROSSING DR,CHARLESTON,SC,29414-5751,NHC PLACE-CHARLESTON LLC,Y,Y,60,60,-80.03699674,32.81596346,HLRESIDENTIALCARE,590147.817,3631295.527
PALMETTOS OF GARDEN CITY,9415 HWY 17 BYPASS,MURRELLS INLET,SC,29576,Horry,843-668-2500,"CRONIN, TERIANN PH#: 843-668-2500",TERI.CRONIN@NHCCARE.COM,TERI.CRONIN@NHCCARE.COM,CRC-1649 / 06/30/2022,Horry / Limited Liability Company (multiple member),9415 HWY 17 BYPASS,MURRELLS INLET,SC,29576,PALMETTOS OF GARDEN CITY LLC,Y,Y,90,,-79.01918531,33.59863024,HLRESIDENTIALCARE,683794.0896,3719412.852
PALMETTOS OF MAULDIN,810 E BUTLER RD,GREENVILLE,SC,29607-5842,Greenville,864-627-0803,"DAVIS, KATHRYN H. PH#: 864-627-0803",KATHRYN.DAVIS@NHCCARE.COM,KATHYRN.DAVIS@NHCCARE.COM,CRC-1503 / 03/31/2022,Greenville / Ltd. Liability,810 E BUTLER RD,GREENVILLE,SC,29607-5842,NHC HEALTHCARE/MAULDIN LLC,Y,Y,60,,-82.28498821,34.80184752,HLRESIDENTIALCARE,382457.2666,3851821.424
PALMETTOS OF PARKLANE,7811 PARKLANE RD,COLUMBIA,SC,29223-5620,Richland,803-741-7233,"DAVILA, KIMBERLY P. PH#: 803-741-7233",KIMBERLY.DAVILA@NHCCARE.COM,KIMBERLY.DAVILA@NHCCARE.COM,CRC-1513 / 04/30/2022,Richland / Limited Liability,7811 PARKLANE RD,COLUMBIA,SC,29223-5620,PALMETTOS OF PARKLANE LLC,Y,Y,85,,-80.95909494,34.08311083,HLRESIDENTIALCARE,503773.8108,3771371.959
PALMS ON MAIN ASSISTED LIVING FACILITY,1267 N MAIN ST,SUMTER,SC,29153-2138,Sumter,803-774-5700,"MCFADDIN, JANICE PH#: ",HRMHCW@YAHOO.COM,ADMINISTRATOR@PALMSONMAINSTREET.COM,CRC-1442 / 05/31/2022,Sumter / Non-Profit Corporation,15 BROAD ST,SUMTER,SC,29150,EMPOWERED PERSONAL CARE HOME HEALTH ALLIANCE INC,N,N,79,79,-80.34052954,33.95578737,HLRESIDENTIALCARE,560932.7115,3757449.657
PARK CIRCLE HOME 1,1133 BEXLEY ST,NORTH CHARLESTON,SC,29405-4726,Charleston,843-442-7173, PH#: ,EJC@GMAIL.COM,,CRC-1992 / 11/30/2021,Charleston / Limited Liability,PO BOX 40729,CHARLESTON,SC,29423,WINDSOR HILL RCF LLC,N,N,5,,-79.981829,32.873666,HLRESIDENTIALCARE,595250.7718,3637741.121
PARK CIRCLE HOME 2,1131 BEXLEY ST,NORTH CHARLESTON,SC,29405-4726,Charleston,843-442-7173, PH#: ,EJC@GMAIL.COM,,CRC-1993 / 11/30/2021,Charleston / Limited Liability,4048 ASHLEY PHOSPHATE RD,NORTH CHARLESTON,SC,29420,WINDSOR HILL RCF LLC,N,N,5,,-79.981604,32.873895,HLRESIDENTIALCARE,595271.6303,3637766.66
PARKER,12 BOYCE AVE,GREENVILLE,SC,29601,Greenville,864-250-1188,"RAST, LARRY PH#: 864-675-0220",DMCHARG@INSPIRITSENIORLIVING.COM,LARRY.RAST@BROOKDALE.COM,CRC-2136 / 01/31/2022,Greenville / Limited Liability,,,,,THE PARKER OPERATOR LLC,N,N,115,,-82.386611,34.850065,HLRESIDENTIALCARE,373234.8081,3857292.701
PASSIONATE CARE COMMUNITY CENTER,2206 HERTFORD DR,COLUMBIA,SC,29210-6130,Richland,803-834-4544,"MARTIN, DONALD E. PH#: 803-404-2278",MARTINDONALD49@YAHOO.COM,MARTINDONALD49@YAHOO.COM,CRC-1500 / 12/31/2021,Richland / Sole Proprietorship,2206 HERTFORD DR,COLUMBIA,SC,29210-6130,"MARTIN, DONALD E.",N,N,5,,-81.09044813,34.05370486,HLRESIDENTIALCARE,491652.57,3768114.381
PEARL AT FIVE FORKS,15 FIVE FORKS RD,SIMPSONVILLE,SC,29681,Greenville,864-568-3833, PH#: ,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,,CRC-2003 / 01/31/2022,Greenville / Limited Liability,10933 CRABAPPLE RD,ROSWELL,GA,30075,PSL SIMPSONVILLEE SUBTENANT LLC,Y,Y,64,,-82.254521,34.795992,HLRESIDENTIALCARE,385236.3821,3851136.735
PEARL AT FORT MILL,1061 GOLD HILL RD,FORT MILL,SC,29708,York,803-548-3825,"BLAIR, SUSAN S. PH#: 803-548-3825",YOLANDA.HUNTER@PHOENIXSRLIVING.COM,SBLAIR@AUTUMNLEAVES.COM,CRC-2147 / 10/31/2021,York / Limited Liability,,,,,PEARL AT FORT MILL LLC,Y,Y,54,,-81.030873,33.999451,HLRESIDENTIALCARE,497149.0021,3762095.488
PEARL AT PORT ROYAL,1251 LADYS ISLAND DR,PORT ROYAL,SC,29935-1106,Beaufort,843-521-2298, PH#: ,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,,CRC-0733 / 01/31/2022,Beaufort / ,1251 LADYS ISLAND DR,PORT ROYAL,SC,29935-1106,CARE RSL PORT ROYAL OPCO LLC,Y,Y,62,62,-80.68313491,32.39451085,HLRESIDENTIALCARE,529800.8048,3584209.757
PEE DEE GARDENS,3117 W PALMETTO ST,FLORENCE,SC,29501,Florence,843-667-6699,"COOKE-EVANS, TONI E. PH#: 843-667-6699",TCOOKE-EVANS@DEPAUL.ORG,TCOOKE-EVANS@DEPAUL.ORG,CRC-1391 / 05/31/2022,Florence / Corporation,3117 W PALMETTO ST,FLORENCE,SC,29501,DEPAUL ADULT CARE COMMUNITIES INC,Y,Y,80,68,-79.8418261,34.1707095,HLRESIDENTIALCARE,606743.128,3781690.168
