Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,License / Expiration,Ownership Type,Licensee,Capacity,Longitude,Latitude
WILLIAMSBURG RESIDENTIAL CARE FACILITY,14 WRCF ST,KINGSTREE,SC,29556-2596,Williamsburg,843-355-6214,JJACKSON@WRCF1985.COM,CRC-0038 / 03/31/2022,Williamsburg / Sole Proprietorship,"JACKSON, JACQUES G.",24,-79.82125155,33.67947437
WILLIES II RCH,46 WILSON ST,SUMTER,SC,29150-3050,Sumter,803-773-4724,ACETW90@AOL.COM,CRC-1485 / 12/31/2021,Sumter / Sole Proprietorship,"COOPER, TRACEY L.",5,-80.33381964,33.93657123
WILLOWS OF EASLEY,105 WILLOW PL,EASLEY,SC,29640-1385,Pickens,864-855-9800,LGS@THEWILLOWSOFEASLEY.COM,CRC-2015 / 03/31/2022,Pickens / Limited Liability,CPF SENIOR LIVING - WILLOWS LLC,50,-82.605882,34.848073
WINDSOR HOUSE GREENVILLE,1931 PELHAM RD,GREENVILLE,SC,29615-4002,Greenville,864-288-9450,CLAY.FOWLERHEALTHCAREENTERPRISE@GMAIL.CO,CRC-1388 / 01/31/2022,Greenville / ,WINDOR HOUSE GREENVILLE-FHE LLC,50,-82.28743721,34.86209572
WOODBRIDGE CLINTON,300 JACOBS HWY,CLINTON,SC,29325,Laurens,864-833-3425,ED@WOODBRIDGECLINTONSENIORLIVING.COM,CRC-2073 / 11/30/2021,Laurens / Limited Liability,ML WOODBRIDGE CLINTON LLC,60,-81.876514,34.452496
WOODBRIDGE SENIOR LIVING,2902 E MAIN ST,SPARTANBURG,SC,29307-1252,Spartanburg,864-579-0086,ED@WOODBRIDGESENIORLIVING.COM,CRC-1991 / 10/31/2021,Spartanburg / Limited Liability,CR WOODBRIDGE LLC,113,-81.862828,34.983752
WOODLAND PLACE,850 JOHN B WHITE BLVD,SPARTANBURG,SC,29306,Spartanburg,864-576-8910,ED@WOODLANDPLACEAL.COM,CRC-2038 / 08/31/2021,Spartanburg / Limited Liability,MI WOODLAND PLACE LLC,108,-81.93051651,34.91762473
WRIGHT'S RESIDENTIAL CARE #2 A & B,12 RIVER ST,LYMAN,SC,29365-1714,Spartanburg,864-249-0412,WRIGHTSCARE91@GMAIL.COM,CRC-1319 / 07/31/2021,Spartanburg / Sole Proprietorship,DIANNE E WRIGHT,10,-82.13235139,34.94364599
WRIGHT'S RESIDENTIAL CARE FACILITY 1,950 OLD SPARTANBURG HWY,WELLFORD,SC,29385,Spartanburg,864-249-0412,WRIGHTSCARE91@GMAIL.COM,CRC-0617 / 01/31/2022,Spartanburg / Sole Proprietorship,DIANNE E WRIGHT,10,-82.107607,34.949046
ZEIGLER STREET COMMUNITY RESIDENCE,71 ZEIGLER ST,BAMBERG,SC,29003-1034,Bamberg,803-245-6169,TDAVIS@BCDSNB.ORG,CRC-1297 / 06/30/2021,Bamberg / ,BAMBERG COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,9,-81.04022462,33.30162359
