Facility Name,License Number,State Facility Type 2 Literal,Status,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity
"LINCOLN HOME, THE",ALP1068,ASSISTED LIVING PROGRAM,ACTIVE,22 RIVER RD,NEWCASTLE,ME,04553-3851,LINCOLN,+1 (207) 563-3350,ASSISTED HOUSING,28
LINCOLN STREET GROUP HOME,PNC607,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,18 LINCOLN ST,PORTLAND,ME,04103-4408,CUMBERLAND,+1 (207) 774-2552,ASSISTED HOUSING,6
LINTON STREET FACILITY,RCA610,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,66 LINTON ST,SOUTH PORTLAND,ME,04106-3319,CUMBERLAND,+1 (207) 772-7255,ASSISTED HOUSING,2
LIVING WELL ADULT DAY HEALTH BRUNSWICK,ADS38871,ADULT DAY SERVICES PROGRAM,ACTIVE,89 ADMIRAL FITCH AVE,BRUNSWICK,ME,04011-2700,CUMBERLAND,+1 (207) 729-6222,ASSISTED HOUSING,20
LIVING WELL ADULT DAY HEALTH STROUDWATER,ADS38872,ADULT DAY SERVICES PROGRAM,ACTIVE,113 LANDING RD,WESTBROOK,ME,04092-4094,CUMBERLAND,+1 (207) 857-9007,ASSISTED HOUSING,20
LIVING WELL ADULT DAY HEALTH WELLS,ADS38873,ADULT DAY SERVICES PROGRAM,ACTIVE,86 SANFORD RD,WELLS,ME,04090-5532,YORK,+1 (207) 646-3444,ASSISTED HOUSING,20
LODGES CARE CENTER,PND1731,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,51 MAIN ST,SPRINGVALE,ME,04083-1843,YORK,+1 (207) 324-4757,ASSISTED HOUSING,57
LOMBARD STREET WAIVER HOME,RCC1775,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,112 LOMBARD ST,PRESQUE ISLE,ME,04769-2448,AROOSTOOK,+1 (207) 764-7127,ASSISTED HOUSING,5
LOOKOUT,RCC38764,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,924 DOVER RD,DEXTER,ME,04930-2547,PENOBSCOT,+1 (207) 924-0098,ASSISTED HOUSING,3
LOTHROP FOSTER HOME,RCB619,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,62 HOPKINS HILL RD,NEWCASTLE,ME,04553-3600,LINCOLN,+1 (207) 563-2727,ASSISTED HOUSING,3
LUBEAR WAY,RCC38944,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,47 LUBEAR WAY,AUBURN,ME,04210-8281,ANDROSCOGGIN,+1 (207) 795-6737,ASSISTED HOUSING,4
LUCETTE'S BOARDING HOME,PND622,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,61 MAIN ST,THOMASTON,ME,04861-3650,KNOX,+1 (207) 354-6746,ASSISTED HOUSING,18
LUDLOW,RCA39151,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,474 LUDLOW ST,PORTLAND,ME,04102-1543,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
MAC-AUTUMN HOUSE,RCC2024,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,443 MAIN ST,MADISON,ME,04950-4203,SOMERSET,+1 (207) 566-5766,ASSISTED HOUSING,4
MAC-HARVEST HILL HOME,RCC1848,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,60A DUNBAR HILL RD,EMBDEN,ME,4958,SOMERSET,+1 (207) 566-5766,ASSISTED HOUSING,5
MACHIAS BOARDING HOME,PNC626,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,2 NORTH ST,MACHIAS,ME,04654-1193,WASHINGTON,+1 (207) 255-8596,ASSISTED HOUSING,6
MAC-HOUSE,RCC625,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,60B DUNBAR HILL RD,EMBDEN,ME,4958,SOMERSET,+1 (207) 566-5766,ASSISTED HOUSING,5
MACSULLIVAN HOME,RCC1662,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1 MACSULLIVAN ST,LEWISTON,ME,04240-4022,ANDROSCOGGIN,+1 (207) 786-3270,ASSISTED HOUSING,3
MADAWASKA GROUP HOME,PND628,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,704 MAIN ST,MADAWASKA,ME,04756-3043,AROOSTOOK,+1 (207) 728-6727,ASSISTED HOUSING,7
MADDOCKS AVENUE HOME,RCA38938,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,20 MADDOCKS AVE,ELLSWORTH,ME,04605-1508,HANCOCK,+1 (207) 667-7464,ASSISTED HOUSING,2
MADIGAN ESTATES ADULT DAY PROGRAM,ADS631,ADULT DAY SERVICES PROGRAM,ACTIVE,93 MILITARY ST,HOULTON,ME,04730-2421,AROOSTOOK,+1 (207) 532-6593,ASSISTED HOUSING,20
MADIGAN HOUSE,RCD22498,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,93 MILITARY ST,HOULTON,ME,04730-2421,AROOSTOOK,+1 (207) 532-6593,ASSISTED HOUSING,47
MADISON HOUSE,RCC38696,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,92 WHITE SCHOOL HOUSE RD,MADISON,ME,04950-4007,SOMERSET,+1 (207) 696-0807,ASSISTED HOUSING,4
MAIN STREET MANOR,RCC39085,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,641 MAIN ST,OLD TOWN,ME,04468-1920,PENOBSCOT,+1 (207) 951-6800,ASSISTED HOUSING,5
MAIN STREET WEST,ALP2373,ASSISTED LIVING PROGRAM,ACTIVE,1037 W MAIN ST,DOVER FOXCROFT,ME,04426-3752,PISCATAQUIS,+1 (207) 564-8129,ASSISTED HOUSING,14
"MAINE FAMILY SERVICES, LLC II",RCA38831,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1470 FOREST AVE,PORTLAND,ME,04103-1802,CUMBERLAND,+1 (207) 536-4937,ASSISTED HOUSING,2
MAINE VETERANS' HOME - AUGUSTA,RCD22505,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,310 CONY RD,AUGUSTA,ME,04330-0513,KENNEBEC,+1 (207) 622-2454,ASSISTED HOUSING,30
MAINE VETERANS' HOME - BANGOR,PND22507,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,44 HOGAN RD,BANGOR,ME,04401-5602,PENOBSCOT,+1 (207) 942-2333,ASSISTED HOUSING,30
MAINE VETERANS' HOME - CARIBOU,RCD22511,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,163 VAN BUREN RD STE 2,CARIBOU,ME,04736-3567,AROOSTOOK,+1 (207) 498-6074,ASSISTED HOUSING,30
MAINE VETERANS' HOME - MACHIAS,PND1803,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,32 VETERANS WAY,MACHIAS,ME,04654-3324,WASHINGTON,+1 (207) 255-0162,ASSISTED HOUSING,30
MAINE VETERANS' HOME - SCARBOROUGH,PND22514,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,290 US ROUTE 1,SCARBOROUGH,ME,04074-8370,CUMBERLAND,+1 (207) 883-7184,ASSISTED HOUSING,30
MAINE VETERANS' HOME - SOUTH PARIS,PND22516,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,477 HIGH ST,SOUTH PARIS,ME,04281-6507,OXFORD,+1 (207) 743-6300,ASSISTED HOUSING,28
MAINESTAY,PND38905,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,165 CUMBERLAND AVE,PORTLAND,ME,04101-3129,CUMBERLAND,+1 (207) 221-8656,ASSISTED HOUSING,12
MAMIE POWELL WAIVER HOME,RCC646,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,38 CARTER ST,EAGLE LAKE,ME,4739,AROOSTOOK,+1 (207) 444-6225,ASSISTED HOUSING,4
MAPLE AVENUE,RCC39009,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,55 MAPLE AVE,SCARBOROUGH,ME,04074-8269,CUMBERLAND,+1 (207) 879-1140,ASSISTED HOUSING,4
MAPLE LANE,RCB2296,LEVEL II RESIDENTIAL CARE FACILITY,FAILED TO RENEW,,,,,,+1 (207) 232-2999,ASSISTED HOUSING,3
MAPLECREST REHAB AND LIVING CTR ADC PROGRAM,ADS653,ADULT DAY SERVICES PROGRAM,ACTIVE,174 MAIN ST,MADISON,ME,04950-1523,SOMERSET,+1 (207) 696-8225,ASSISTED HOUSING,20
MAPLETON WAIVER HOME,RCC2312,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,46 FORDS LN,MAPLETON,ME,04757-4324,AROOSTOOK,+1 (207) 764-1836,ASSISTED HOUSING,3
MARCOUX WAIVER HOME,RCC1715,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,36 MAKAYLA DRIVE,EAGLE LAKE,ME,4739,AROOSTOOK,+1 (207) 444-6223,ASSISTED HOUSING,4
"MARKET SQUARE HEALTH CARE CENTER, LLC",PND22579,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,3 MARKET SQ,SOUTH PARIS,ME,04281-1114,OXFORD,+1 (207) 743-7086,ASSISTED HOUSING,24
MARLU STREET,RCA2321,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,26 MARLU ST,WESTBROOK,ME,04092-4649,CUMBERLAND,+1 (207) 879-1140,ASSISTED HOUSING,2
MARSH ROAD,RCC38763,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,69 MARSH RD,CORINTH,ME,04427-3200,PENOBSCOT,+1 (207) 285-0090,ASSISTED HOUSING,4
MARSHALL,RCA38954,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,40 MARSHALL ST,MECHANIC FALLS,ME,04256-5106,ANDROSCOGGIN,+1 (207) 782-2726,ASSISTED HOUSING,2
MARSTON APT-SUPPORT SOLUTIONS,RCA39255,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,57 MARSTON ST,AUBURN,ME,04210-4325,ANDROSCOGGIN,+1 (207) 312-5152,ASSISTED HOUSING,1
MARSTON STREET HOME,PNC38686,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 MARSTON ST,NORWAY,ME,04268-5776,OXFORD,+1 (207) 743-2171,ASSISTED HOUSING,4
MARTHA BALLARD ASSISTED LIVING,ALP38939,ASSISTED LIVING PROGRAM,ACTIVE,60 BALSAM DR,HALLOWELL,ME,04347-3008,KENNEBEC,+1 (207) 626-7786,ASSISTED HOUSING,24
MARTIN DRIVE,PNC2102,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,30 MARTIN DR # 32,LEWISTON,ME,04240-5041,ANDROSCOGGIN,+1 (207) 376-4809,ASSISTED HOUSING,4
MARY LANE,RCC100,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,84 MARY LN,OAKLAND,ME,04963-5124,KENNEBEC,+1 (207) 465-7201,ASSISTED HOUSING,4
MAST LANDING RESIDENCE,RCC1737,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,4 DIKES LANDING RD,BATH,ME,04530-2867,SAGADAHOC,+1 (207) 386-5160,ASSISTED HOUSING,3
MAYFLOWER PLACE,ALP38844,ASSISTED LIVING PROGRAM,ACTIVE,27 MAYFLOWER ST,SANFORD,ME,04073-3645,YORK,+1 (207) 490-0400,ASSISTED HOUSING,36
MCCARTY HOUSE,RCA38987,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,208 PALM ST,BANGOR,ME,04401-4022,PENOBSCOT,+1 (207) 307-7813,ASSISTED HOUSING,2
MEADOW ROAD HOME ASSISTED HOUSING PROGRAM,RCC38616,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,113 SANDY CREEK RD,BRIDGTON,ME,04009-4135,CUMBERLAND,+1 (207) 647-9385,ASSISTED HOUSING,4
"MEADOWS HOME, THE",RCC2247,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,244 RAY ST,PORTLAND,ME,04103-4305,CUMBERLAND,+1 (207) 747-5463,ASSISTED HOUSING,4
"MEADOWS, THE",PND1069,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,110 PERKINS AVE,OLD TOWN,ME,04468-1763,PENOBSCOT,+1 (207) 827-0547,ASSISTED HOUSING,16
MEADOWVIEW GROUP HOME,PND680,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,90 PARK ST,ORONO,ME,04473-4408,PENOBSCOT,+1 (207) 866-4214,ASSISTED HOUSING,8
MELISSA DRIVE,RCA39146,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,23 MELISSA DR,YARMOUTH,ME,04096-7717,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
MELODY LANE,RCA39015,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,17 MELODY LN,LEWISTON,ME,04240-1613,ANDROSCOGGIN,+1 (207) 333-5005,ASSISTED HOUSING,2
MEMORY LANE ASSISTED LIVING LLC,RCC39036,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,2472 ROUTE 2,HERMON,ME,04401-0624,PENOBSCOT,+1 (207) 605-0144,ASSISTED HOUSING,3
MERCY HOME,PND33876,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,3402 AROOSTOOK RD,EAGLE LAKE,ME,04739-3240,AROOSTOOK,+1 (207) 444-5152,ASSISTED HOUSING,10
MERRY GARDENS ESTATES,ALP684,ASSISTED LIVING PROGRAM,ACTIVE,87 JOHN ST,CAMDEN,ME,04843-1953,KNOX,+1 (207) 230-0618,ASSISTED HOUSING,30
MID COAST SENIOR HEALTH CENTER-THORNTON HALL,ALP1692,ASSISTED LIVING PROGRAM,ACTIVE,56 BARIBEAU DR,BRUNSWICK,ME,04011-3251,CUMBERLAND,+1 (207) 373-3646,ASSISTED HOUSING,41
MIDDLE STREET HOUSE,PNC1932,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,45 MIDDLE ST,AUGUSTA,ME,04330-5728,KENNEBEC,+1 (207) 626-3484,ASSISTED HOUSING,6
MIDDLESEX RESIDENCE - T2,RCC39399,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,563 MIDDLESEX RD,TOPSHAM,ME,04086-5340,SAGADAHOC,+1 (207) 443-9783,ASSISTED HOUSING,6
MILBRIDGE RESIDENCE,PNC690,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,4 HARBOR LN,MILBRIDGE,ME,04658-3550,WASHINGTON,+1 (207) 546-5015,ASSISTED HOUSING,6
MILL STREET,RCA38947,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,143 MILL ST APT 108,AUBURN,ME,04210-5650,ANDROSCOGGIN,+1 (207) 795-7619,ASSISTED HOUSING,1
MILLER TERRACES,PND693,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,60 OHIO ST,BANGOR,ME,04401-4732,PENOBSCOT,+1 (207) 942-8603,ASSISTED HOUSING,10
MILLIE MORRILL HOUSE,RCC623,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,205 LUDLOW ST,PORTLAND,ME,04102-1807,CUMBERLAND,+1 (207) 420-3281,ASSISTED HOUSING,6
MINUTEMAN DRIVE,RCC696,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1 MINUTEMAN DR,SCARBOROUGH,ME,04074-8716,CUMBERLAND,+1 (207) 885-0831,ASSISTED HOUSING,3
MONARCH,RCC38830,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1164 W MAIN ST,DOVER FOXCROFT,ME,04426-3716,PISCATAQUIS,+1 (207) 802-8087,ASSISTED HOUSING,3
MONMOUTH ACRES,RCC38710,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,89 ROUTE 135,MONMOUTH,ME,04259-6513,KENNEBEC,+1 (207) 933-8060,ASSISTED HOUSING,6
MONROE HOME,RCC701,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,20 MONROE AVE,WESTBROOK,ME,04092-4017,CUMBERLAND,+1 (207) 854-9521,ASSISTED HOUSING,4
MONTELLO COMMONS,PND22592,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,540 COLLEGE ST,LEWISTON,ME,04240-5228,ANDROSCOGGIN,+1 (207) 783-6244,ASSISTED HOUSING,44
MONTELLO HEIGHTS RETIREMENT COMMUNITY,ALP1757,ASSISTED LIVING PROGRAM,ACTIVE,550 COLLEGE ST,LEWISTON,ME,04240-2464,ANDROSCOGGIN,+1 (207) 786-7149,ASSISTED HOUSING,80
MONTELLO STREET,RCA38945,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,146 MONTELLO ST,LEWISTON,ME,04240-4631,ANDROSCOGGIN,+1 (207) 241-0263,ASSISTED HOUSING,2
MOODY'S FOSTER HOME,RCA707,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,198 BIRMINGHAM RD,CHELSEA,ME,04330-1189,KENNEBEC,+1 (207) 582-0016,ASSISTED HOUSING,2
"MOORING AT THE DOWNS, THE",RCD39048,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,7 MILL COMMONS DR,SCARBOROUGH,ME,04074-8392,CUMBERLAND,+1 (207) 272-2797,ASSISTED HOUSING,13
"MOORING ON FORESIDE, THE",RCD38666,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,301 US ROUTE 1,CUMBERLAND FORESIDE,ME,04110-1356,CUMBERLAND,+1 (207) 272-2797,ASSISTED HOUSING,13
MORGAN BROOK,RCC38935,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,222 WOODMAN HILL RD,MINOT,ME,04258-4637,ANDROSCOGGIN,+1 (207) 345-0982,ASSISTED HOUSING,3
MORRELLS MILL HOME,RCC711,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,104 MORRILLS MILL RD,NORTH BERWICK,ME,03906-6129,YORK,+1 (207) 676-8535,ASSISTED HOUSING,4
MORRELL'S MILL ROAD,RCA39067,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,179 MORRILLS MILL RD,NORTH BERWICK,ME,03906-6126,YORK,+1 (207) 937-8260,ASSISTED HOUSING,2
MORSE BROOK,RCA39004,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,15 MORSE BROOK DR,SOUTH PARIS,ME,04281-6576,OXFORD,+1 (207) 744-2072,ASSISTED HOUSING,2
MOUNT PROSPECT,RCA38953,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1176 WOODMAN HILL RD,MINOT,ME,04258-5400,ANDROSCOGGIN,+1 (207) 782-2726,ASSISTED HOUSING,2
MOUNTAIN ROAD WAIVER,RCC2205,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,177 MOUNTAIN RD,SAINT ALBANS,ME,04971-7401,SOMERSET,+1 (207) 938-3201,ASSISTED HOUSING,2
MOUNTAIN VISTA MANOR,RCD2180,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,44 S BAY RD,FRANKLIN,ME,04634-3140,HANCOCK,+1 (207) 565-3804,ASSISTED HOUSING,8
MOUNTAINVIEW DRIVE,RCA39020,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,33 MOUNTAIN VIEW DR,SOUTH PARIS,ME,04281-6301,OXFORD,+1 (207) 744-2249,ASSISTED HOUSING,2
MUNROE HOUSE I,RCC724,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,72 EMERY ST,PORTLAND,ME,04102-3707,CUMBERLAND,+1 (207) 828-0048,ASSISTED HOUSING,4
MUNROE HOUSE II,RCC725,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,70 EMERY ST,PORTLAND,ME,04102-3707,CUMBERLAND,+1 (207) 828-0048,ASSISTED HOUSING,4
MURPHY'S LAKEVIEW MANOR,RCC38839,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,10 E BROADWAY,LINCOLN,ME,04457-1416,PENOBSCOT,+1 (207) 951-7291,ASSISTED HOUSING,6
MURPHY'S MANOR,RCC38625,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,340 STATE ST,BANGOR,ME,04401-5531,PENOBSCOT,+1 (207) 573-1681,ASSISTED HOUSING,6
MUSKIE CENTER ADULT DAY SERVICES,ADS727,ADULT DAY SERVICES PROGRAM,ACTIVE,38 GOLD ST,WATERVILLE,ME,04901-5919,KENNEBEC,+1 (207) 622-9212,ASSISTED HOUSING,40
MUSSEY,RCA39175,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,166 MUSSEY ST,SOUTH PORTLAND,ME,04106-3815,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
MVRA 50 MAPLE,RCA39057,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,50 MAPLE ST,BANGOR,ME,04401-5407,PENOBSCOT,+1 (207) 990-1666,ASSISTED HOUSING,2
MVRA-17 MIDDLE STREET,RCC38773,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,17 MIDDLE ST,HALLOWELL,ME,04347-1101,KENNEBEC,+1 (207) 774-4248,ASSISTED HOUSING,3
MVRA-HAMPDEN,RCC38772,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,569 BACK WINTERPORT RD,HAMPDEN,ME,04444-1123,PENOBSCOT,+1 (207) 990-1666,ASSISTED HOUSING,3
MY FRIEND'S PLACE,ADS1321,ADULT DAY SERVICES PROGRAM,ACTIVE,703 ESSEX ST,BANGOR,ME,04401-3509,PENOBSCOT,+1 (207) 945-0122,ASSISTED HOUSING,20
NARRAGUAGUS BAY HEALTH CENTER,RCD22598,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,3 MAIN ST,MILBRIDGE,ME,04658-3500,WASHINGTON,+1 (207) 546-2371,ASSISTED HOUSING,23
"NEIGHBORHOOD RESIDENTIAL, INC.",RCC38637,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,36 HADLEY LAKE RD,MARSHFIELD,ME,04654-5108,WASHINGTON,+1 (207) 263-4783,ASSISTED HOUSING,6
NEURORESTORATIVE 246 HARDY ROAD,RCC38875,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,246 HARDY RD,WESTBROOK,ME,04092-2515,CUMBERLAND,+1 (207) 229-0547,ASSISTED HOUSING,5
NEURORESTORATIVE GORHAM,RCC38816,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,9 RIVERS EDGE DR,GORHAM,ME,04038-5866,CUMBERLAND,+1 (207) 229-0547,ASSISTED HOUSING,5
NEURORESTORATIVE KENNEBUNK 1,RCD38630,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,9 POTVIN LN,KENNEBUNK,ME,04043-6176,YORK,+1 (207) 229-0547,ASSISTED HOUSING,8
NEURORESTORATIVE OLD ORCHARD,RCC2368,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,35 POPLAR ST,OLD ORCHARD BEACH,ME,04064-1169,YORK,+1 (207) 229-0547,ASSISTED HOUSING,5
NEURORESTORATIVE OLD ORCHARD BEACH 2,RCD2388,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,37 POPLAR ST,OLD ORCHARD BEACH,ME,04064-1169,YORK,+1 (207) 229-0547,ASSISTED HOUSING,8
NEURORESTORATIVE OLD ORCHARD BEACH 3,RCD38629,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,14 POND VIEW RD,OLD ORCHARD BEACH,ME,04064-4149,YORK,+1 (207) 229-0547,ASSISTED HOUSING,8
NEURORESTORATIVE SEBAGO HOUSE,RCD2000,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,986 SEBAGO RD,SEBAGO,ME,04029-3814,CUMBERLAND,+1 (207) 787-2162,ASSISTED HOUSING,8
NEURORESTORATIVE SEBAGO LODGE,RCD38602,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,1014 SEBAGO RD,SEBAGO,ME,04029-3816,CUMBERLAND,+1 (207) 229-0547,ASSISTED HOUSING,8
NEURORESTORATIVE SEBAGO RANCH,RCC2294,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,988 SEBAGO RD,SEBAGO,ME,04029-3814,CUMBERLAND,+1 (207) 229-0547,ASSISTED HOUSING,6
NEW BEGINNINGS RESIDENTIAL CARE LLC,RCD2207,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,90 PARK ST,MILO,ME,04463-1738,PISCATAQUIS,+1 (207) 943-6082,ASSISTED HOUSING,8
NEW HOPE HOME,PNC739,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,91 HIGHLAND TER,MEXICO,ME,04257-1721,OXFORD,+1 (207) 369-0019,ASSISTED HOUSING,4
NEW HORIZONS AFCH,RCD38636,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,526 SOUTH ST,CALAIS,ME,04619-1118,WASHINGTON,+1 (207) 454-1141,ASSISTED HOUSING,8
NEWTON STREET RESIDENCE,RCC743,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,137 NEWTON ST,PORTLAND,ME,04103-1534,CUMBERLAND,+1 (207) 671-3565,ASSISTED HOUSING,4
NFI NORTH INTERMISSION,PND38908,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,98 RUSSELL ST,LEWISTON,ME,04240-6004,ANDROSCOGGIN,+1 (207) 784-7144,ASSISTED HOUSING,7
NORTH AVENUE,RCC39074,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,67 NORTH AVE,SANFORD,ME,04073-2944,YORK,+1 (207) 850-1198,ASSISTED HOUSING,3
NORTH MAIN,RCA38957,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,65 N MAIN ST,MECHANIC FALLS,ME,04256-6320,ANDROSCOGGIN,+1 (207) 782-2726,ASSISTED HOUSING,2
NORTH POND HOMESTEAD,RCC752,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,349 N POND RD,WARREN,ME,04864-4428,KNOX,+1 (207) 273-3005,ASSISTED HOUSING,4
NORTH STREET,PNC38809,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,81 NORTH ST,SACO,ME,04072-1924,YORK,+1 (207) 283-1500,ASSISTED HOUSING,4
NORTH STREET ASSISTED LIVING,ALP38811,ASSISTED LIVING PROGRAM,ACTIVE,81 NORTH ST,SACO,ME,04072-1924,YORK,+1 (207) 283-1500,ASSISTED HOUSING,3
NORTH STREET BRIDGE HOME,RCD1912,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,241 NORTH ST,CALAIS,ME,04619-1619,WASHINGTON,+1 (207) 952-0240,ASSISTED HOUSING,7
NORTHERN AVENUE,RCC753,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,124 NORTHERN AVE,AUBURN,ME,04210-6200,ANDROSCOGGIN,+1 (207) 777-3110,ASSISTED HOUSING,4
NORTHWOOD MANOR,RCC1671,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,35 WALKER ST,ASHLAND,ME,04732-3429,AROOSTOOK,+1 (207) 435-3700,ASSISTED HOUSING,6
"NORWAY CENTER FOR HEALTH & REHABILITATION, LLC",PND22604,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,29 MARION AVE,NORWAY,ME,04268-5601,OXFORD,+1 (207) 743-7075,ASSISTED HOUSING,28
OAKHILL ROAD,RCC39062,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,256 OAK HILL RD,AUBURN,ME,04210-6541,ANDROSCOGGIN,+1 (207) 937-8260,ASSISTED HOUSING,3
