Facility Name,License Number,State Facility Type 2 Literal,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity,Date Accessed
Montello Commons,PND22592,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,540 COLLEGE ST,Lewiston,ME,04240-5228,Androscoggin,+1 (207) 783-6244,ASSISTED HOUSING,44,7/12/21
Montello Heights Retirement Community,ALP1757,ASSISTED LIVING PROGRAM,550 COLLEGE ST,Lewiston,ME,04240-2464,Androscoggin,+1 (207) 786-7149,ASSISTED HOUSING,80,7/12/21
Montello Street,RCA38945,LEVEL I RESIDENTIAL CARE FACILITY,146 MONTELLO ST,Lewiston,ME,04240-4631,Androscoggin,+1 (207) 241-0263,ASSISTED HOUSING,2,7/12/21
Moody'S Foster Home,RCA707,LEVEL I RESIDENTIAL CARE FACILITY,198 BIRMINGHAM RD,Chelsea,ME,04330-1189,Kennebec,+1 (207) 582-0016,ASSISTED HOUSING,2,7/12/21
"Mooring At The Downs, The",RCD39048,LEVEL IV RESIDENTIAL CARE FACILITY,7 MILL COMMONS DR,Scarborough,ME,04074-8392,Cumberland,+1 (207) 272-2797,ASSISTED HOUSING,13,7/12/21
"Mooring On Foreside, The",RCD38666,LEVEL IV RESIDENTIAL CARE FACILITY,301 US ROUTE 1,Cumberland Foreside,ME,04110-1356,Cumberland,+1 (207) 272-2797,ASSISTED HOUSING,13,7/12/21
Morgan Brook,RCC38935,LEVEL III RESIDENTIAL CARE FACILITY,222 WOODMAN HILL RD,Minot,ME,04258-4637,Androscoggin,+1 (207) 345-0982,ASSISTED HOUSING,3,7/12/21
Morrells Mill Home,RCC711,LEVEL III RESIDENTIAL CARE FACILITY,104 MORRILLS MILL RD,North Berwick,ME,03906-6129,York,+1 (207) 676-8535,ASSISTED HOUSING,4,7/12/21
Morrell'S Mill Road,RCA39067,LEVEL I RESIDENTIAL CARE FACILITY,179 MORRILLS MILL RD,North Berwick,ME,03906-6126,York,+1 (207) 937-8260,ASSISTED HOUSING,2,7/12/21
Morse Brook,RCA39004,LEVEL I RESIDENTIAL CARE FACILITY,15 MORSE BROOK DR,South Paris,ME,04281-6576,Oxford,+1 (207) 744-2072,ASSISTED HOUSING,2,7/12/21
Mount Prospect,RCA38953,LEVEL I RESIDENTIAL CARE FACILITY,1176 WOODMAN HILL RD,Minot,ME,04258-5400,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,2,7/12/21
Mountain Road Waiver,RCC2205,LEVEL III RESIDENTIAL CARE FACILITY,177 MOUNTAIN RD,Saint Albans,ME,04971-7401,Somerset,+1 (207) 938-3201,ASSISTED HOUSING,2,7/12/21
Mountain Vista Manor,RCD2180,LEVEL IV RESIDENTIAL CARE FACILITY,44 S BAY RD,Franklin,ME,04634-3140,Hancock,+1 (207) 565-3804,ASSISTED HOUSING,8,7/12/21
Mountainview Drive,RCA39020,LEVEL I RESIDENTIAL CARE FACILITY,33 MOUNTAIN VIEW DR,South Paris,ME,04281-6301,Oxford,+1 (207) 744-2249,ASSISTED HOUSING,2,7/12/21
Munroe House I,RCC724,LEVEL III RESIDENTIAL CARE FACILITY,72 EMERY ST,Portland,ME,04102-3707,Cumberland,+1 (207) 828-0048,ASSISTED HOUSING,4,7/12/21
Munroe House Ii,RCC725,LEVEL III RESIDENTIAL CARE FACILITY,70 EMERY ST,Portland,ME,04102-3707,Cumberland,+1 (207) 828-0048,ASSISTED HOUSING,4,7/12/21
Murphy'S Lakeview Manor,RCC38839,LEVEL III RESIDENTIAL CARE FACILITY,10 E BROADWAY,Lincoln,ME,04457-1416,Penobscot,+1 (207) 951-7291,ASSISTED HOUSING,6,7/12/21
Murphy'S Manor,RCC38625,LEVEL III RESIDENTIAL CARE FACILITY,340 STATE ST,Bangor,ME,04401-5531,Penobscot,+1 (207) 573-1681,ASSISTED HOUSING,6,7/12/21
Muskie Center Adult Day Services,ADS727,ADULT DAY SERVICES PROGRAM,38 GOLD ST,Waterville,ME,04901-5919,Kennebec,+1 (207) 622-9212,ASSISTED HOUSING,40,7/12/21
Mussey,RCA39175,LEVEL I RESIDENTIAL CARE FACILITY,166 MUSSEY ST,South Portland,ME,04106-3815,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Mvra 50 Maple,RCA39057,LEVEL I RESIDENTIAL CARE FACILITY,50 MAPLE ST,Bangor,ME,04401-5407,Penobscot,+1 (207) 990-1666,ASSISTED HOUSING,2,7/12/21
Mvra-17 Middle Street,RCC38773,LEVEL III RESIDENTIAL CARE FACILITY,17 MIDDLE ST,Hallowell,ME,04347-1101,Kennebec,+1 (207) 774-4248,ASSISTED HOUSING,3,7/12/21
Mvra-Hampden,RCC38772,LEVEL III RESIDENTIAL CARE FACILITY,569 BACK WINTERPORT RD,Hampden,ME,04444-1123,Penobscot,+1 (207) 990-1666,ASSISTED HOUSING,3,7/12/21
My Friend'S Place,ADS1321,ADULT DAY SERVICES PROGRAM,703 ESSEX ST,Bangor,ME,04401-3509,Penobscot,+1 (207) 945-0122,ASSISTED HOUSING,20,7/12/21
Narraguagus Bay Health Center,RCD22598,LEVEL IV RESIDENTIAL CARE FACILITY,3 MAIN ST,Milbridge,ME,04658-3500,Washington,+1 (207) 546-2371,ASSISTED HOUSING,23,7/12/21
"Neighborhood Residential, Inc.",RCC38637,LEVEL III RESIDENTIAL CARE FACILITY,36 HADLEY LAKE RD,Marshfield,ME,04654-5108,Washington,+1 (207) 263-4783,ASSISTED HOUSING,6,7/12/21
Neurorestorative 246 Hardy Road,RCC38875,LEVEL III RESIDENTIAL CARE FACILITY,246 HARDY RD,Westbrook,ME,04092-2515,Cumberland,+1 (207) 229-0547,ASSISTED HOUSING,5,7/12/21
Neurorestorative Gorham,RCC38816,LEVEL III RESIDENTIAL CARE FACILITY,9 RIVERS EDGE DR,Gorham,ME,04038-5866,Cumberland,+1 (207) 229-0547,ASSISTED HOUSING,5,7/12/21
Neurorestorative Kennebunk 1,RCD38630,LEVEL IV RESIDENTIAL CARE FACILITY,9 POTVIN LN,Kennebunk,ME,04043-6176,York,+1 (207) 229-0547,ASSISTED HOUSING,8,7/12/21
Neurorestorative Old Orchard,RCC2368,LEVEL III RESIDENTIAL CARE FACILITY,35 POPLAR ST,Old Orchard Beach,ME,04064-1169,York,+1 (207) 229-0547,ASSISTED HOUSING,5,7/12/21
Neurorestorative Old Orchard Beach 2,RCD2388,LEVEL IV RESIDENTIAL CARE FACILITY,37 POPLAR ST,Old Orchard Beach,ME,04064-1169,York,+1 (207) 229-0547,ASSISTED HOUSING,8,7/12/21
Neurorestorative Old Orchard Beach 3,RCD38629,LEVEL IV RESIDENTIAL CARE FACILITY,14 POND VIEW RD,Old Orchard Beach,ME,04064-4149,York,+1 (207) 229-0547,ASSISTED HOUSING,8,7/12/21
Neurorestorative Sebago House,RCD2000,LEVEL IV RESIDENTIAL CARE FACILITY,986 SEBAGO RD,Sebago,ME,04029-3814,Cumberland,+1 (207) 787-2162,ASSISTED HOUSING,8,7/12/21
Neurorestorative Sebago Lodge,RCD38602,LEVEL IV RESIDENTIAL CARE FACILITY,1014 SEBAGO RD,Sebago,ME,04029-3816,Cumberland,+1 (207) 229-0547,ASSISTED HOUSING,8,7/12/21
Neurorestorative Sebago Ranch,RCC2294,LEVEL III RESIDENTIAL CARE FACILITY,988 SEBAGO RD,Sebago,ME,04029-3814,Cumberland,+1 (207) 229-0547,ASSISTED HOUSING,6,7/12/21
New Beginnings Residential Care Llc,RCD2207,LEVEL IV RESIDENTIAL CARE FACILITY,90 PARK ST,Milo,ME,04463-1738,Piscataquis,+1 (207) 943-6082,ASSISTED HOUSING,8,7/12/21
New Hope Home,PNC739,PNMI LEVEL III RESIDENTIAL CARE FACILITY,91 HIGHLAND TER,Mexico,ME,04257-1721,Oxford,+1 (207) 369-0019,ASSISTED HOUSING,4,7/12/21
New Horizons Afch,RCD38636,LEVEL IV RESIDENTIAL CARE FACILITY,526 SOUTH ST,Calais,ME,04619-1118,Washington,+1 (207) 454-1141,ASSISTED HOUSING,8,7/12/21
Newton Street Residence,RCC743,LEVEL III RESIDENTIAL CARE FACILITY,137 NEWTON ST,Portland,ME,04103-1534,Cumberland,+1 (207) 671-3565,ASSISTED HOUSING,4,7/12/21
Nfi North Intermission,PND38908,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,98 RUSSELL ST,Lewiston,ME,04240-6004,Androscoggin,+1 (207) 784-7144,ASSISTED HOUSING,7,7/12/21
North Avenue,RCC39074,LEVEL III RESIDENTIAL CARE FACILITY,67 NORTH AVE,Sanford,ME,04073-2944,York,+1 (207) 850-1198,ASSISTED HOUSING,3,7/12/21
North Main,RCA38957,LEVEL I RESIDENTIAL CARE FACILITY,65 N MAIN ST,Mechanic Falls,ME,04256-6320,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,2,7/12/21
North Pond Homestead,RCC752,LEVEL III RESIDENTIAL CARE FACILITY,349 N POND RD,Warren,ME,04864-4428,Knox,+1 (207) 273-3005,ASSISTED HOUSING,4,7/12/21
North Street,PNC38809,PNMI LEVEL III RESIDENTIAL CARE FACILITY,81 NORTH ST,Saco,ME,04072-1924,York,+1 (207) 283-1500,ASSISTED HOUSING,4,7/12/21
North Street Assisted Living,ALP38811,ASSISTED LIVING PROGRAM,81 NORTH ST,Saco,ME,04072-1924,York,+1 (207) 283-1500,ASSISTED HOUSING,3,7/12/21
North Street Bridge Home,RCD1912,LEVEL IV RESIDENTIAL CARE FACILITY,241 NORTH ST,Calais,ME,04619-1619,Washington,+1 (207) 952-0240,ASSISTED HOUSING,7,7/12/21
Northern Avenue,RCC753,LEVEL III RESIDENTIAL CARE FACILITY,124 NORTHERN AVE,Auburn,ME,04210-6200,Androscoggin,+1 (207) 777-3110,ASSISTED HOUSING,4,7/12/21
Northwood Manor,RCC1671,LEVEL III RESIDENTIAL CARE FACILITY,35 WALKER ST,Ashland,ME,04732-3429,Aroostook,+1 (207) 435-3700,ASSISTED HOUSING,6,7/12/21
"Norway Center For Health & Rehabilitation, Llc",PND22604,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,29 MARION AVE,Norway,ME,04268-5601,Oxford,+1 (207) 743-7075,ASSISTED HOUSING,28,7/12/21
Oakhill Road,RCC39062,LEVEL III RESIDENTIAL CARE FACILITY,256 OAK HILL RD,Auburn,ME,04210-6541,Androscoggin,+1 (207) 937-8260,ASSISTED HOUSING,3,7/12/21
Oaks,RCA38895,LEVEL I RESIDENTIAL CARE FACILITY,15 PIN OAK DR APT 1501,Scarborough,ME,04074-8254,Cumberland,+1 (207) 219-8530,ASSISTED HOUSING,2,7/12/21
Oakwood Drive,PNC1863,PNMI LEVEL III RESIDENTIAL CARE FACILITY,10 OAKWOOD DR,Oxford,ME,04270-3587,Oxford,+1 (207) 539-8618,ASSISTED HOUSING,3,7/12/21
Oasis,RCC38826,LEVEL III RESIDENTIAL CARE FACILITY,10 LOOKOUT AVE,Dover Foxcroft,ME,04426-3622,Piscataquis,+1 (207) 564-9061,ASSISTED HOUSING,3,7/12/21
Ocean House Road,RCA39107,LEVEL I RESIDENTIAL CARE FACILITY,8 OCEAN HOUSE RD,South Portland,ME,04106-6648,Cumberland,+1 (207) 835-0175,ASSISTED HOUSING,2,7/12/21
Ocean Park Road,RCA1675,LEVEL I RESIDENTIAL CARE FACILITY,36 OCEAN PARK RD,Saco,ME,04072-1620,York,+1 (207) 282-7306,ASSISTED HOUSING,2,7/12/21
Ocean Street,PND38899,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,521 OCEAN ST,South Portland,ME,04106-6625,Cumberland,+1 (207) 874-1175,ASSISTED HOUSING,8,7/12/21
Oceanview Manor,ALP2381,ASSISTED LIVING PROGRAM,10 MANOR ST,Ocean Park,ME,04063-3000,York,+1 (207) 934-2157,ASSISTED HOUSING,6,7/12/21
Ocr-26 Old County Road,RCC2237,LEVEL III RESIDENTIAL CARE FACILITY,26 OLD COUNTY RD,Scarborough,ME,04074-9005,Cumberland,+1 (207) 878-4686,ASSISTED HOUSING,4,7/12/21
Odd Fellows & Rebekahs' Home Of Maine,PND22608,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,85 CARON LN,Auburn,ME,04210-4288,Androscoggin,+1 (207) 786-4616,ASSISTED HOUSING,37,7/12/21
Ods #34,RCA38977,LEVEL I RESIDENTIAL CARE FACILITY,34 OAKWOOD DR,Saco,ME,04072-1855,York,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Ods #36,RCA38980,LEVEL I RESIDENTIAL CARE FACILITY,36 OAKWOOD DR,Saco,ME,04072-1855,York,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Ohi - 113 Lincoln Street Assisted Living Facility,RCC1624,LEVEL III RESIDENTIAL CARE FACILITY,113 LINCOLN ST,Bangor,ME,04401-6220,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,3,7/12/21
Ohi - 17 Church Road,PNC2022,PNMI LEVEL III RESIDENTIAL CARE FACILITY,17 CHURCH RD,Holden,ME,04429-7150,Penobscot,+1 (207) 989-7725,ASSISTED HOUSING,6,7/12/21
Ohi - 175 Moosehead Blvd.,RCC5,LEVEL III RESIDENTIAL CARE FACILITY,175 MOOSEHEAD BLVD,Bangor,ME,04401-2324,Penobscot,+1 (207) 990-4215,ASSISTED HOUSING,4,7/12/21
Ohi - 18 Grove Street,RCC1702,LEVEL III RESIDENTIAL CARE FACILITY,18 GROVE ST,Brewer,ME,04412-2304,Penobscot,+1 (207) 989-8928,ASSISTED HOUSING,4,7/12/21
Ohi - 19 Souder Station Lane,RCC2128,LEVEL III RESIDENTIAL CARE FACILITY,19 SOUDER STATION LN,Winterport,ME,04496-3438,Waldo,+1 (207) 848-5804,ASSISTED HOUSING,3,7/12/21
Ohi - 247 Birch Street,RCC1677,LEVEL III RESIDENTIAL CARE FACILITY,247 BIRCH ST,Bangor,ME,04401-4023,Penobscot,+1 (207) 941-6565,ASSISTED HOUSING,3,7/12/21
Ohi - 296 Mt. Hope Avenue,PNC1800,PNMI LEVEL III RESIDENTIAL CARE FACILITY,296 MOUNT HOPE AVE,Bangor,ME,04401-4209,Penobscot,+1 (207) 990-0360,ASSISTED HOUSING,4,7/12/21
Ohi - 321 North Main Street,RCC1789,LEVEL III RESIDENTIAL CARE FACILITY,321 N MAIN ST,Brewer,ME,04412-2616,Penobscot,+1 (207) 989-6930,ASSISTED HOUSING,4,7/12/21
Ohi - 34 Longmeadow Drive,RCC1930,LEVEL III RESIDENTIAL CARE FACILITY,34 LONGMEADOW DR,Brewer,ME,04412-1309,Penobscot,+1 (207) 989-7328,ASSISTED HOUSING,3,7/12/21
Ohi - 35 Deer Run Rd,PND38854,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,35 DEER RUN RD,Glenburn,ME,04401-1830,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,12,7/12/21
Ohi - 35 George Street,RCC1758,LEVEL III RESIDENTIAL CARE FACILITY,35 GEORGE ST,Hampden,ME,04444-1605,Penobscot,+1 (207) 862-4497,ASSISTED HOUSING,4,7/12/21
Ohi - 52 Division Street,PNC1919,PNMI LEVEL III RESIDENTIAL CARE FACILITY,52 DIVISION ST,Bangor,ME,04401-4835,Penobscot,+1 (207) 942-1603,ASSISTED HOUSING,4,7/12/21
Ohi - 546 Pine Tree Road,RCC2059,LEVEL III RESIDENTIAL CARE FACILITY,546 PINETREE RD,Hermon,ME,04401-0124,Penobscot,+1 (207) 848-5003,ASSISTED HOUSING,4,7/12/21
Ohi - 57 Glenwood,RCC38793,LEVEL III RESIDENTIAL CARE FACILITY,57 GLENWOOD DR,Bangor,ME,04401-2905,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,4,7/12/21
Ohi - Randolph Drive,RCC884,LEVEL III RESIDENTIAL CARE FACILITY,180 RANDOLPH DR,Bangor,ME,04401-2832,Penobscot,+1 (207) 942-3073,ASSISTED HOUSING,4,7/12/21
Ohi - Three Hudson Street,PNC1087,PNMI LEVEL III RESIDENTIAL CARE FACILITY,3 HUDSON ST,Bangor,ME,04401-4617,Penobscot,+1 (207) 947-0202,ASSISTED HOUSING,6,7/12/21
Ohi - Whitney Court,RCC1705,LEVEL III RESIDENTIAL CARE FACILITY,42 WHITNEY CT,Brewer,ME,04412-1352,Penobscot,+1 (207) 989-3132,ASSISTED HOUSING,4,7/12/21
Ohi-100 Elm,RCA39156,LEVEL I RESIDENTIAL CARE FACILITY,100 ELM ST,Brewer,ME,04412-2518,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,2,7/12/21
Ohi-143 Patterson,RCA39010,LEVEL I RESIDENTIAL CARE FACILITY,143 PATTERSON RD,Hampden,ME,04444-2001,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,2,7/12/21
Ohi-220 Bolling Drive,RCA39029,LEVEL I RESIDENTIAL CARE FACILITY,220 BOLLING DR,Bangor,ME,04401-2848,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,2,7/12/21
Ohi-224 Bolling Drive,RCA39168,LEVEL I RESIDENTIAL CARE FACILITY,224 BOLLING DR,Bangor,ME,04401-2848,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,2,7/12/21
Ohi-231 Randolph,RCA39162,LEVEL I RESIDENTIAL CARE FACILITY,231 RANDOLPH DR,Bangor,ME,04401-2845,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,2,7/12/21
Ohi-2522 Essex,RCA39011,LEVEL I RESIDENTIAL CARE FACILITY,2522 ESSEX ST,Orono,ME,04473-3052,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,2,7/12/21
Ohi-279 Essex,RCA39161,LEVEL I RESIDENTIAL CARE FACILITY,279 ESSEX ST,Bangor,ME,04401-4002,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,2,7/12/21
Ohi-92 State Street,RCA39055,LEVEL I RESIDENTIAL CARE FACILITY,92 STATE ST APT 1,Brewer,ME,04412-1984,Penobscot,+1 (207) 848-5804,ASSISTED HOUSING,2,7/12/21
Olb Main,RCA38981,LEVEL I RESIDENTIAL CARE FACILITY,5 OAKWOOD LN # 1,Biddeford,ME,04005-4205,York,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Olb Up,RCA38982,LEVEL I RESIDENTIAL CARE FACILITY,5 OAKWOOD LN # 2,Biddeford,ME,04005-4205,York,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Old County Road,RCA39196,LEVEL I RESIDENTIAL CARE FACILITY,164 OLD COUNTY RD,Hampden,ME,04444-1806,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Old Danville Road,RCC772,LEVEL III RESIDENTIAL CARE FACILITY,501 OLD DANVILLE RD,Auburn,ME,04210-8107,Androscoggin,+1 (207) 782-6264,ASSISTED HOUSING,4,7/12/21
Old Portland Road A,RCC38786,LEVEL III RESIDENTIAL CARE FACILITY,220 OLD PORTLAND RD,Brunswick,ME,04011-7274,Cumberland,+1 (207) 504-5680,ASSISTED HOUSING,3,7/12/21
Old Portland Road B,RCA38917,LEVEL I RESIDENTIAL CARE FACILITY,220 OLD PORTLAND RD # B,Brunswick,ME,04011-7274,Cumberland,+1 (207) 504-5680,ASSISTED HOUSING,1,7/12/21
Old Town Manor,RCC39084,LEVEL III RESIDENTIAL CARE FACILITY,641 MAIN ST,Old Town,ME,04468-1920,Penobscot,+1 (207) 951-6800,ASSISTED HOUSING,5,7/12/21
Old Windsor Road,RCA775,LEVEL I RESIDENTIAL CARE FACILITY,47 WINDSOR RD,Chelsea,ME,04330-1283,Kennebec,+1 (207) 582-6181,ASSISTED HOUSING,2,7/12/21
Olhc-Holm Avenue,RCB39013,LEVEL II RESIDENTIAL CARE FACILITY,182 HOLM AVE,Portland,ME,4102,,+1 (207) 329-8441,ASSISTED HOUSING,3,7/12/21
Olhc-Pond Road,RCB38910,LEVEL II RESIDENTIAL CARE FACILITY,1 POND RD,Lewiston,ME,04240-1612,Androscoggin,+1 (207) 329-8441,ASSISTED HOUSING,2,7/12/21
Oliver House,RCC776,LEVEL III RESIDENTIAL CARE FACILITY,482 FARMINGTON FALLS RD,Farmington,ME,04938-6438,Franklin,+1 (207) 778-0584,ASSISTED HOUSING,4,7/12/21
One Hundred Twelve Ohio Street,PNC781,PNMI LEVEL III RESIDENTIAL CARE FACILITY,112 OHIO ST,Bangor,ME,04401-4737,Penobscot,+1 (207) 942-5353,ASSISTED HOUSING,5,7/12/21
One Seventy Main Street,RCC782,LEVEL III RESIDENTIAL CARE FACILITY,170 MAIN ST,Presque Isle,ME,04769-2817,Aroostook,+1 (207) 764-0019,ASSISTED HOUSING,4,7/12/21
One Sixty Eight Old Lisbon Road,RCC784,LEVEL III RESIDENTIAL CARE FACILITY,168 OLD LISBON RD,Lewiston,ME,04240-1509,Androscoggin,+1 (207) 241-2826,ASSISTED HOUSING,4,7/12/21
One Twenty Five Franklin Street,PNC785,PNMI LEVEL III RESIDENTIAL CARE FACILITY,125 FRANKLIN ST,Rumford,ME,04276-2201,Oxford,+1 (207) 364-5851,ASSISTED HOUSING,5,7/12/21
One Willow Manor,RCB786,LEVEL II RESIDENTIAL CARE FACILITY,97 SCHOOL ST,South Portland,ME,04106-1545,Cumberland,+1 (207) 799-2615,ASSISTED HOUSING,6,7/12/21
Onelove Homecare,RCB38711,LEVEL II RESIDENTIAL CARE FACILITY,176 HOLM AVE,Portland,ME,04102-1228,Cumberland,+1 (207) 329-8441,ASSISTED HOUSING,3,7/12/21
Onelove Homecare - Apartment B,RCA38882,LEVEL I RESIDENTIAL CARE FACILITY,176 HOLM AVE APT B,Portland,ME,04102-1228,Cumberland,+1 (207) 329-8441,ASSISTED HOUSING,1,7/12/21
Orchard House,RCC38955,LEVEL III RESIDENTIAL CARE FACILITY,1344 BANGOR RD,Dover Foxcroft,ME,04426-3231,Piscataquis,+1 (207) 564-0061,ASSISTED HOUSING,3,7/12/21
Orono Commons,RCD22610,LEVEL IV RESIDENTIAL CARE FACILITY,117 BENNOCH RD,Orono,ME,04473-3620,Penobscot,+1 (207) 866-4914,ASSISTED HOUSING,10,7/12/21
Osher Inn At The Cedars,ALP1959,ASSISTED LIVING PROGRAM,650 OCEAN AVE,Portland,ME,04103-2704,Cumberland,+1 (207) 221-7171,ASSISTED HOUSING,30,7/12/21
Our Place,RCB38796,LEVEL II RESIDENTIAL CARE FACILITY,,,ME,,,,ASSISTED HOUSING,3,7/12/21
Owl'S Head Group Home,PND38852,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,38 WESKEG RD,Owls Head,ME,04854-3417,Knox,+1 (207) 594-9507,ASSISTED HOUSING,7,7/12/21
Oxhorn Road,RCC38631,LEVEL III RESIDENTIAL CARE FACILITY,60 OXHORN RD,Wiscasset,ME,04578-4697,Lincoln,+1 (207) 882-9181,ASSISTED HOUSING,3,7/12/21
Pagoma Lane,RCC39018,LEVEL III RESIDENTIAL CARE FACILITY,20 PAGOMA LN,Lewiston,ME,04240-1702,Androscoggin,+1 (207) 241-2991,ASSISTED HOUSING,3,7/12/21
Parent Waiver Home,RCB2218,LEVEL II RESIDENTIAL CARE FACILITY,118 WRIGHT ST,Van Buren,ME,04785-1352,Aroostook,+1 (207) 868-9708,ASSISTED HOUSING,3,7/12/21
Paris Home Assisted Housing Program,RCC38611,LEVEL III RESIDENTIAL CARE FACILITY,14 PARIS PROMENADE,South Paris,ME,04281-1126,Oxford,+1 (207) 743-6354,ASSISTED HOUSING,4,7/12/21
"Parish House, The",PNC38706,PNMI LEVEL III RESIDENTIAL CARE FACILITY,27 KENNEBEC ST,Bar Harbor,ME,04609-1905,Hancock,+1 (207) 373-1140,ASSISTED HOUSING,6,7/12/21
Park Avenue,RCA39027,LEVEL I RESIDENTIAL CARE FACILITY,10 PARK AVE W,Brewer,ME,04412-2336,Penobscot,+1 (207) 307-7963,ASSISTED HOUSING,2,7/12/21
Park Residences,ALP803,ASSISTED LIVING PROGRAM,141 W RIVER RD,Waterville,ME,04901-5098,Kennebec,+1 (207) 861-5685,ASSISTED HOUSING,39,7/12/21
Park Residences Of Farmington,ALP38791,ASSISTED LIVING PROGRAM,"175 KNOWLTON CORNER RD, C/O WOODLANDS SENIOR LIVING OF FARMINGTON",Farmington,ME,04938-6200,Franklin,+1 (207) 860-3999,ASSISTED HOUSING,22,7/12/21
Park Street,PND38802,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,130 PARK ST,Portland,ME,04101-3805,Cumberland,+1 (207) 874-1088,ASSISTED HOUSING,9,7/12/21
Park Street West Paris,RCB805,LEVEL II RESIDENTIAL CARE FACILITY,26 PARK ST,West Paris,ME,04289-5149,Oxford,+1 (207) 674-3372,ASSISTED HOUSING,3,7/12/21
Parker Ridge,ALP1964,ASSISTED LIVING PROGRAM,63 PARKER RIDGE LN,Blue Hill,ME,04614-6129,Hancock,+1 (207) 374-2913,ASSISTED HOUSING,47,7/12/21
Parkman I,RCC38697,LEVEL III RESIDENTIAL CARE FACILITY,88 WHITE SCHOOL HOUSE RD,Madison,ME,04950-4007,Somerset,+1 (207) 696-3300,ASSISTED HOUSING,4,7/12/21
Parkway South,RCA39318,LEVEL I RESIDENTIAL CARE FACILITY,231 PARKWAY S,Brewer,ME,04412-1615,Penobscot,+1 (207) 989-1092,ASSISTED HOUSING,2,7/12/21
Patten Pond House,RCD2147,LEVEL IV RESIDENTIAL CARE FACILITY,99 PATTEN POND RD,Surry,ME,04684-3329,Hancock,+1 (207) 664-2906,ASSISTED HOUSING,8,7/12/21
Patterson Road,RCA39189,LEVEL I RESIDENTIAL CARE FACILITY,193 PATTERSON RD,Hampden,ME,04444-2001,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Pearce Brook Home,RCC2285,LEVEL III RESIDENTIAL CARE FACILITY,12 ABRAHAM COURT,Houlton,ME,4730,Aroostook,+1 (207) 532-9446,ASSISTED HOUSING,5,7/12/21
Petra House Waiver,RCC2163,LEVEL III RESIDENTIAL CARE FACILITY,34 OAK ST,Waterville,ME,04901-5525,Kennebec,+1 (207) 873-4903,ASSISTED HOUSING,3,7/12/21
Phillip Blanchette Residential,RCC2071,LEVEL III RESIDENTIAL CARE FACILITY,3601 AROOSTOOK ROAD,Eagle Lake,ME,4739,Aroostook,+1 (207) 444-5152,ASSISTED HOUSING,6,7/12/21
Phillips-Strickland House,PND840,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,21 BOYD ST,Bangor,ME,04401-6560,Penobscot,+1 (207) 941-2820,ASSISTED HOUSING,48,7/12/21
"Pierce House, The",PND300,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,204 MAIN ST,Farmington,ME,04938-1901,Franklin,+1 (207) 778-4745,ASSISTED HOUSING,16,7/12/21
Pine Grove Cottage,RCA39046,LEVEL I RESIDENTIAL CARE FACILITY,275 FOUR ROD RD,Warren,ME,04864-4660,Knox,+1 (207) 273-3386,ASSISTED HOUSING,2,7/12/21
Pinewood Manor,ALP38621,ASSISTED LIVING PROGRAM,20 MANOR ST,Ocean Park,ME,04063-3000,York,+1 (207) 934-2157,ASSISTED HOUSING,14,7/12/21
Pinewood Terrace,PND38681,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,136 ROSEWOOD DR,Farmington,ME,04938-6734,Franklin,+1 (207) 779-0511,ASSISTED HOUSING,30,7/12/21
Pinnacle Drive,RCC38797,LEVEL III RESIDENTIAL CARE FACILITY,7 PINNACLE DR,Auburn,ME,04210-4364,Androscoggin,+1 (207) 795-6737,ASSISTED HOUSING,4,7/12/21
