Speciality,contract,Check_Type,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Has Reports?,Reports Location
None,No Contract,,2521,60009648,45634,BH  ,Murano Senior Living,OP    ,620 Terry Ave,Seattle,WA,98104,King,620 Terry Ave,Seattle,WA,98104,(206) 202-4620,,(206) 202-6912,2J,,,"Pickarz, Eric ",117,11/30/21 0:00,,,No, 
None,Assisted Living SOW,,1186,60001186,30479,BH  ,NIKKEI MANOR,OP    ,700 6TH AVE S,SEATTLE,WA,98104,King,700 6TH AVE S,SEATTLE,WA,98104,(206) 726-6460,,(206) 726-6475,2J,,1002XP-12 ,"McLaughlin, Theresa ",56,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1186
None,Assisted Living SOW,,1688,60008947,30841,BH  ,NORMANDY PARK ASSISTED LIVING,OP    ,16625 1st Ave S,Burien,WA,98148,King,16625 1st Ave S,Burien,WA,98148,(206) 241-0821,,(206) 241-0708,2D,,1002XP-12 ,"Dickerson, Antonette ",120,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1688
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,145,60000819,30008,BH  ,NORSE HOME,OP    ,5311 PHINNEY AVE N,SEATTLE,WA,98103,King,5311 PHINNEY AVE N,SEATTLE,WA,98103,(206) 781-7400,,(206) 892-7575,2J,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Martin, Mike ",86,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=145
None,Assisted Living SOW,,980,60003275,30291,BH  ,NORTHAVEN II ASSISTED LIVING,OP    ,531 NE 112TH ST,SEATTLE,WA,98125,King,531 NE 112TH ST,SEATTLE,WA,98125,(206) 362-8077,,(206) 365-0267,2J,,1002XP-12 ,"Storti, Darlene S. ",40,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=980
None,No Contract,,2374,60006366,44180,BH  ,NORTHGATE PLAZA,OP    ,11030 NE 5TH AVE,SEATTLE,WA,98125,King,11030 NE 5TH AVE,SEATTLE,WA,98125,(206) 363-6740,(206) 364-8075,,2J,,,"Levingston, Angela ",60,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2374
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2130,60000681,41497,BH  ,Olympic View Assisted Living,OP    ,21202 INTERNATIONAL BLVD,SEATAC,WA,98198,King,21202 INTERNATIONAL BLVD,SEATAC,WA,98198,(206) 878-0900,(206) 824-5932,,2D,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Snider, Leanna ",60,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2130
None,No Contract,,2551,60000889,46134,BH  ,Overlake Terrace,OP    ,2956 152nd Ave NE,Redmond,WA,98052,King,2956 152nd Ave NE,Redmond,WA,98052,(425) 883-0495,,(425) 896-1698,2D,,,"Adamovici, Veronica ",150,9/30/21 0:00,,,No, 
None,Assisted Living SOW,,1532,60008871,30738,BH  ,PARK PLACE,OP    ,6900 37TH AVENUE SOUTH,SEATTLE,WA,98118,King,6900 37th Avenue South,Seattle,WA,98118,(206) 722-7275,,(206) 723-7275,2J,,1002XP-12 ,"Wahlgren, Fred ",156,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1532
None,No Contract,,183,60000834,30014,BH  ,PARK SHORE,OP    ,1630 43RD AVE E,SEATTLE,WA,98112,King,1630 43RD AVE E,SEATTLE,WA,98112,(206) 329-0770,(206) 720-2102,,2J,,,"Moore, Roger E. ",36,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=183
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2550,60000838,46403,BH  ,Parkside Retirement Community,OP    ,2902 I St NE,Auburn,WA,98002,King,2902 I St NE,Auburn,WA,98002,(253) 939-1332,,(253) 939-5216,2D,,"1036XP-12 , 1006XP-12 , 1002XP-12 , 1007XP-12 ","Wester, Zachary ",94,3/31/22 0:00,,,No, 
None,No Contract,,1117,60001117,30411,BH  ,PARKVIEW GROUP HOME,OP    ,1114 15TH AVE E,SEATTLE,WA,98112,King,1114 15TH AVE E,SEATTLE,WA,98112,(206) 324-4113,,(206) 324-0660,2J,,,"Cote, Marc G. ",6,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1117
None,No Contract,,2121,60008707,41028,BH  ,PATRIOTS GLEN,OP    ,1640 148TH AVE SE,BELLEVUE,WA,98007,King,1640 148TH AVE SE,BELLEVUE,WA,98007,(425) 373-1161,(425) 373-1662,,2D,,,"Drew, Jordan ",82,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2121
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Facility Not Accepting Medicaid Clients,2245,60000842,42218,BH  ,PETERS CREEK RETIREMENT COMMUNITY,OP    ,14431 REDMOND WAY,REDMOND,WA,98052,King,14431 REDMOND WAY,REDMOND,WA,98052,(425) 869-2273,(425) 861-1876,,2D,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Hendricks, Brandie ",70,7/31/22 0:00,1/12/18 8:15,Facility Not Accepting Medicaid Clients,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2245
None,Assisted Living SOW,,2239,60008895,42171,BH  ,Prestige Senior Living Auburn Meadows,OP    ,945 22nd St NE,Auburn,WA,98002,King,945 22nd St NE,Auburn,WA,98002,(253) 333-0171,,(253) 333-0171,2D,,1002XP-12 ,"Muenzhuber, Tonee ",110,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2239
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care",,2401,60009592,44067,BH  ,Provail,OP    ,1548 NE 175th St,Shoreline ,WA,98155,King,1548 NE 175th St,Shoreline ,WA,98155,(206) 420-8838,,,2J,,"1036XP-12 , 1006XP-12 ","Grabinski, Amal ",12,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2401
None,"Assisted Living SOW, Adult Residential Care",,198,60000806,30016,BH  ,Providence Mount St. Vincent,OP    ,4831 35th Ave SW,Seattle,WA,98126,King,4831 35th Ave SW,Seattle,WA,98126,(206) 937-3700,,(206) 938-8599,2J,,"1002XP-12 , 1007XP-12 ","Byod, Charlene K. ",122,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=198
None,No Contract,,2458,60009621,45004,BH  ,Quail Park Memory Care Residences of West Seattle,OP    ,4515 41st Ave SW,Seattle,WA,98116,King,4515 41st Ave SW,Seattle,WA,98116,(206) 633-2273,,(206) 634-4901,2J,,,"Anderson, Brian T. ",70,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2458
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2367,60000851,44048,BH  ,Queen Anne Manor,OP    ,100 Crockett St,Seattle,WA,98109,King,100 Crockett St,Seattle,WA,98109,(206) 282-5001,,(206) 282-9064,2J,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","McFadden, Kristine ",103,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2367
None,No Contract,,1158,60001158,30451,BH  ,RED OAK RESIDENCE OF NORTH BEND,OP    ,650 E NORTH BEND WAY,NORTH BEND,WA,98045,King,650 E NORTH BEND WAY,NORTH BEND,WA,98045,(425) 888-7108,,(425) 831-2344,2D,,,"Jarboe, Amy ",38,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1158
None,No Contract,,2522,60000644,45670,BH  ,Redmond Heights Senior Living,OP    ,7950 Willows Rd NE,Redmond,WA,98052,King,7950 Willows Rd NE,Redmond,WA,98052,(425) 885-4157,,(425) 882-3308,2D,,,"Tuchman, Elizabeth ",85,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2522
None,Assisted Living SOW,,2018,60009529,39737,BH  ,REGENCY NEWCASTLE,OP    ,7454 NEWCASTLE GOLF CLUB ROAD,NEWCASTLE,WA,98059,King,7454 NEWCASTLE GOLF CLUB ROAD,NEWCASTLE,WA,98059,(425) 453-1508,(425) 793-5309,,2D,,1002XP-12 ,"Luciano-DeSmith, Tulinh ",85,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2018
None,Assisted Living SOW,,1413,60008806,30655,BH  ,RIVERSIDE EAST,OP    ,10315 EAST RIVERSIDE DR,BOTHELL,WA,98011,King,2020 A St SE Suite 101,Auburn,WA,98002,(425) 481-1976,,(425) 489-3046,2J,,1002XP-12 ,"Frankie, Elizabeth ",44,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1413
None,Enhanced Adult Residential Care,,2539,60001852,46130,BH  ,Ruthaven ALF LLC,OP    ,15843 SE 256TH ST,COVINGTON,WA,98042,King,15843 SE 256TH ST,COVINGTON,WA,98042,(253) 631-5600,,(253) 631-5610,2D,,1006XP-12 ,"Martinson, Chelsey ",14,2/28/22 0:00,,,No, 
None,"Assisted Living SOW, Adult Residential Care",,2467,60000671,45183,BH  ,Sagebrook Senior Living at Bellevue,OP    ,15750 NE 15TH ST,BELLEVUE,WA,98008,King,15750 NE 15TH ST,BELLEVUE,WA,98008,(425) 641-4900,,(425) 957-4592,2D,,"1002XP-12 , 1007XP-12 ","Carlos, Cash ",108,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2467
None,No Contract,,2573,60009665,46453,BH  ,Silverado - Bellevue,OP    ,14428 NE 8th St,Bellevue,WA,98007,King,14428 NE 8th St,Bellevue,WA,98007,,,,2D,,,"Printy, Laura ",56,5/31/22 0:00,,,No, 
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2137,60001829,41498,BH  ,SPIRITWOOD AT PINE LAKE,OP    ,3607 228TH AVE SE,ISSAQUAH,WA,98029,King,2020 A St SE Suite 101,Auburn,WA,98002,(425) 313-9100,(425) 313-9125,,2D,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Fahnestock, Taylor ",80,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2137
None,No Contract,,1150,60000626,30443,BH  ,SPRING MANOR,OP    ,1103 16TH AVE,SEATTLE,WA,98122,King,1103 16TH AVE,SEATTLE,WA,98122,(206) 324-9021,(206) 436-8203,,2J,,,"ROSS, AMANDA ",57,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1150
None,No Contract,,1157,60001157,30450,BH  ,STAFFORD SUITES,OP    ,112 KENNEBECK AVE N,KENT,WA,98030,King,112 KENNEBECK AVE N,KENT,WA,98030,(253) 850-0333,,(253) 850-3293,2D,,,"Burgess, Marni ",75,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1157
None,No Contract,,1519,60000845,30728,BH  ,STILLWATER HOUSE,OP    ,8705 166TH AVE NE,REDMOND,WA,98052,King,8705 166TH AVE NE,REDMOND,WA,98052,(425) 653-5080,,(206) 726-5796,2D,,,"Parks, Deborah ",16,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1519
None,No Contract,,2163,60008706,41860,BH  ,SUNRISE OF BELLEVUE,OP    ,15928 NE 8TH ST,BELLEVUE,WA,98008,King,15928 NE 8TH ST,BELLEVUE,WA,98008,(425) 401-5152,(877) 291-8329,,2D,,,"CLARK, MOLLY ",90,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2163
None,No Contract,,2342,60000940,43883,BH  ,Sunrise of Bothell,OP    ,10605 NE 185th St,Bothell,WA,98011,King,10605 NE 185th St,Bothell,WA,98011,(425) 487-3245,,(425) 487-3245,2J,,,"Bangerter, Jennie ",50,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2342
None,No Contract,,2543,60009647,45621,BH  ,Sunrise of Issaquah,OP    ,23599 SE Issaquah Fall City Rd,Issaquah,WA,98029,King,23599 SE Issaquah Fall City Rd,Issaquah,WA,98029,(425) 945-0006,,(425) 945-0007,2D,,,"Fischer, Phyllis ",107,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2543
None,No Contract,,2164,60000894,41858,BH  ,SUNRISE OF MERCER ISLAND,OP    ,2959 76TH AVENUE SE,MERCER ISLAND,WA,98040,King,2959 76TH AVENUE SE,MERCER ISLAND,WA,98040,(206) 232-6565,(206) 232-3875,,2D,,,"MacDonald, Kim ",64,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2164
None,No Contract,,2344,60008931,43885,BH  ,Sunrise of Northgate,OP    ,11039 17th Ave NE,Seattle,WA,98125,King,11039 17th Ave NE,Seattle,WA,98125,(206) 440-1700,,(206) 440-1613,2J,,,"Hineline, Ashley ",49,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2344
None,No Contract,,2464,60008775,45046,BH  ,Sunrise of Redmond,OP    ,15241 NE 20TH ST,BELLEVUE,WA,98007,King,15241 NE 20TH ST,BELLEVUE,WA,98007,,,(425) 401-0633,2D,,,"Fenner, William R. ",90,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2464
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,1089,60001089,30383,BH  ,TERRY HOME,OP    ,138 3RD AVE SW,PACIFIC,WA,98047,King,138 3RD AVE SW,PACIFIC,WA,98047,(253) 288-0135,,(253) 288-0787,2D,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","NORMAN, JOANNE ",10,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1089
None,"Expanded Community Services, Enhanced Adult Residential Care",,2205,60009563,41915,BH  ,TERRY HOME AUBURN,OP    ,727 A STREET NE,AUBURN,WA,98002,King,727 A STREET NE,AUBURN,WA,98002,(253) 737-4546,(253) 737-4549,,2D,,1036XP-12 ,"NORMAN, JOANNE ",16,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2205
None,No Contract,,2457,60009513,45049,BH  ,The Bellettini,OP    ,1115 108th Ave NE,Bellevue,WA,98004,King,1115 108th Ave NE,Bellevue,WA,98004,,,(425) 450-4064,2D,,,"Bates, Frances ",50,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2457
None,Assisted Living SOW,,2056,60008868,40599,BH  ,THE CANNON HOUSE,OP    ,113 23rd AVENUE SOUTH,SEATTLE,WA,98144,King,113 23rd AVENUE SOUTH,SEATTLE,WA,98144,(206) 709-1777,(206) 860-9846,,2J,,1002XP-12 ,"Weber, Vivian ",91,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2056
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2496,60009629,45166,BH  ,The Cottages of Renton,OP    ,17033 108th Ave SE,Renton,WA,98055,King,17033 108th Ave SE,Renton,WA,98055,(425) 528-7070,,(425) 282-4894,2D,,"1027XS-12 , 1006XP-12 ","Jeppesen, Greg ",60,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2496
None,Assisted Living SOW,,456,60000711,30059,BH  ,THE GARDENS AT JUANITA BAY,OP    ,11853 97th Ave NE,Kirkland,WA,98034,King,11853 97th Ave NE,Kirkland,WA,98034,(425) 823-0410,,(425) 823-4414,2J,,1002XP-12 ,"Dinovi, Annika ",48,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=456
None,No Contract,,1604,60008745,30791,BH  ,THE GARDENS AT TOWN SQUARE,OP    ,933 111TH AVE NE,BELLEVUE,WA,98004,King,933 111th Ave NE,Bellevue,WA,98004,(425) 688-1900,(425) 871-6070,,2D,,,"Tolstoy, April ",80,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1604
None,No Contract,,1994,60001832,39575,BH  ,THE INN AT ARBOR VILLAGE,OP    ,24205 116TH AVE SE,KENT,WA,98030,King,24205 116TH AVE SE,KENT,WA,98030,(253) 893-0340,(253) 893-0391,,2D,,,"WAISATH, ELISABETH A. ",14,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1994
None,No Contract,,128,60000769,30005,BH  ,THE KENNEY,OP    ,7125 Fauntleroy Way SW,Seattle,WA,98136,King,7125 Fauntleroy Way SW,Seattle,WA,98136,(206) 937-2800,,(206) 933-2793,2J,,,"Davis, CYNTHIA ",98,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=128
None,No Contract,,2037,60009538,40068,BH  ,THE LODGE AT ARBOR VILLAGE,OP    ,24004 114TH PLACE SE,KENT,WA,98030,King,24004 114TH PLACE SE,KENT,WA,98030,(253) 856-1600,(253) 856-8043,,2D,,,"WAISATH, ELISABETH A. ",60,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2037
None,"Assisted Living SOW, Adult Residential Care",,1798,60008756,30926,BH  ,THE LODGE AT EAGLE RIDGE,OP    ,1600 S EAGLE RIDGE Dr S,Renton,WA,98055,King,1600 S EAGLE RIDGE Dr S,Renton,WA,98055,(425) 793-8080,,(425) 228-5877,2D,,"1002XP-12 , 1007XP-12 ","Wammock, Justin ",75,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1798
None,No Contract,,2365,60009580,43751,BH  ,The Meridian at Stone Creek,OP    ,1111 S 376th St,Milton,WA,98354,King,1111 S 376th St,Milton,WA,98354,(253) 661-3651,(253) 754-6750,,3D,,,"Sorenson, Brian ",188,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2365
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,1435,60008819,30671,BH  ,THE SUMMIT AT FIRST HILL,OP    ,1200 UNIVERSITY ST SUITE 100,SEATTLE,WA,98101,King,1200 UNIVERSITY ST SUITE 100,SEATTLE,WA,98101,(206) 652-4444,(206) 519-6672,,2J,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Powandra, Matthew ",60,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1435
None,No Contract,,2054,60009545,40323,BH  ,THE TERRACES AT SKYLINE,OP    ,715 9TH AVE,SEATTLE,WA,98104,King,715 9TH AVE,SEATTLE,WA,98104,(206) 682-3200,(206) 407-1713,,2J,,,"FOLTZ, CAROL ",86,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2054
None,No Contract,,523,60000903,30070,BH  ,TRANSITIONAL RESOURCES,OP    ,2970 SW AVALON WAY,SEATTLE,WA,98126,King,2970 SW AVALON WAY,SEATTLE,WA,98126,(206) 883-2050,(206) 457-5006,,2J,,,"Slovek-walker, Darcell A. ",16,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=523
None,Assisted Living SOW,,2420,60008820,44312,BH  ,"Truewood by Merrill, First Hill",OP    ,1421 MINOR AVE,SEATTLE,WA,98101,King,1421 MINOR AVE,SEATTLE,WA,98101,(206) 624-7637,(206) 622-0960,,2J,,1002XP-12 ,"Reiter, Kyle ",75,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2420
None,No Contract,,1565,60008885,30763,BH  ,UNIVERSITY HOUSE AT ISSAQUAH,OP    ,22975 SE BLACK NUGGET ROAD,ISSAQUAH,WA,98029,King,22975 SE BLACK NUGGET ROAD,ISSAQUAH,WA,98029,(425) 557-4200,(425) 671-0562,,2D,,,"Vahlkamp, Susan ",55,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1565
None,No Contract,,1170,60001171,30463,BH  ,UNIVERSITY HOUSE AT WALLINGFORD,OP    ,4400 STONE WAY N,SEATTLE,WA,98103,King,4400 STONE WAY N,SEATTLE,WA,98103,(206) 545-8400,(206) 374-2701,,2J,,,"Montelaro, Deborah ",25,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1170
None,Assisted Living SOW,,1561,60008883,30760,BH  ,VASHON COMMUNITY CARE CENTER,OP    ,15333 VASHON HWY SW,VASHON,WA,98070,King,15333 VASHON HWY SW,VASHON,WA,98070,(206) 567-4421,,(206) 567-5052,2D,,1002XP-12 ,"Kleppe, Wendy ",61,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1561
None,No Contract,,2554,60009658,46010,BH  ,Village Concepts of Fairwood,OP    ,17010 140th Ave SE,Renton,WA,98058,King,17010 140th Ave SE,Renton,WA,98058,(888) 548-6609,,(253) 929-8183,2D,,,"Krill, Lynda M. ",60,10/31/21 0:00,,,No, 
None,No Contract,,1159,60001159,30452,BH  ,VILLAGE GREEN RETIREMENT CAMPUS,OP    ,35419 1ST AVE S,FEDERAL WAY,WA,98003,King,35419 1ST AVE S,FEDERAL WAY,WA,98003,(253) 838-3700,,(253) 838-1856,2D,,,"Salas, Kim ",65,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1159
None,Assisted Living SOW,,1734,60008968,30878,BH  ,VINEYARD PARK AT BOTHELL LANDING,OP    ,10519 EAST RIVERSIDE DRIVE,BOTHELL,WA,98011,King,10519 EAST RIVERSIDE DRIVE,BOTHELL,WA,98011,(425) 485-8900,,(425) 481-8115,2J,,1002XP-12 ,"Bah, Gavina ",75,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1734
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,1356,60008768,30619,BH  ,"WEATHERLY INN AT LAKE MERIDIAN, THE",OP    ,15101 SE 272ND ST,KENT,WA,98042,King,15101 SE 272ND ST,KENT,WA,98042,(253) 630-7496,,(253) 638-8439,2D,,"1027XS-12 , 1006XP-12 ","See-Tower, Sherry ",69,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1356
None,No Contract,,1824,60000930,30947,BH  ,WESLEY HOMES DES MOINES ASSISTED LIVING,OP    ,816 S 216TH ST,DES MOINES,WA,981980000,King,816 S 216TH ST,DES MOINES,WA,981980000,(206) 870-8743,(206) 870-1208,,2D,,,"Meinecke, Lisa L. ",43,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1824
None,No Contract,,1964,60009509,39129,BH  ,Wesley Homes Lea Hill LLC,OP    ,32049 109th Place SE,Auburn,WA,98092,King,32049 109th Place SE,Auburn,WA,98092,(253) 804-5644,(253) 876-1155,,2D,,,"Byrge, James G. ",20,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1964
None,No Contract,,1947,60008721,39085,BH  ,Ashley Gardens of Bremerton,OP    ,3231 Pine Rd NE,Bremerton,WA,98310,Kitsap,3231 Pine Rd NE,Bremerton,WA,98310,(360) 478-7277,(360) 479-0759,,3D,,,"Norton, Michael ",40,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1947
None,Assisted Living SOW,,2568,60008743,46734,BH  ,Bay Pointe Assisted Living,OP    ,966 Oyster Bay Court,Bremerton,WA,98312,Kitsap,966 Oyster Bay Court,Bremerton,WA,98312,(360) 373-9904,,(360) 373-0346,3D,,1002XP-12 ,"Zeh, Jennifer ",75,8/31/21 0:00,,,No, 
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,1983,60009510,39208,BH  ,BAY VISTA COMMONS ASSISTED LIVING COMMUNITY,OP    ,191 Russell Road,Bremerton,WA,98312,Kitsap,191 Russell Road,Bremerton,WA,98312,(360) 377-8300,,(360) 394-3298,3D,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Payseno, Jamie ",76,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1983
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2274,60008873,42400,BH  ,Brookdale Montclair Poulsbo,OP    ,1250 NE Lincoln Rd,Poulsbo,WA,98370,Kitsap,1250 NE Lincoln Rd,Poulsbo,WA,98370,(360) 697-2223,(360) 598-9517,,3D,,"1006XP-12 , 1002XP-12 ","King-Kee, Yvonne ",122,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2274
None,No Contract,,2147,60000659,41759,BH  ,Clearbrook Inn Living Center,OP    ,12295 Schold Rd NW,Silverdale,WA,98383,Kitsap,12295 Schold Rd NW,Silverdale,WA,98383,(360) 698-6727,,(360) 308-9150,3D,,,"Duran, Marykay ",53,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2147
None,"Assisted Living SOW, Adult Residential Care",,1041,60007266,30339,BH  ,COURTYARD AT CRISTA SHORES,OP    ,1600 NW CRISTA SHORES LANE,SILVERDALE,WA,98383,Kitsap,1600 NW CRISTA SHORES LN,SILVERDALE,WA,98383,(360) 698-0900,,(360) 613-3529,3D,,"1002XP-12 , 1007XP-12 ","Courtier, Lucinda ",60,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1041
