PROGRAM_DESCRIPTION,FACILITY_NAME,GEOGRAPHIC_STREET,GEOGRAPHIC_CITY,GEOGRAPHIC_STATE,GEOGRAPHIC_ZIP_CODE,PARISH,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ORIGINAL_LICENSURE_DATE,LICENSURE_EXPIRATION_DATE,ADMINISTRATOR,EMAIL_ADDRESS,TELEPHONE_NUMBER,FAX_PHONE_NUMBER,LDH_REGION_CODE,LICENSURE_NUM
End Stage Renal Disease,Delhi Dialysis Center,307 Detroit Street ,DELHI,LA,71232,RICHLAND,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,1/15/04,12/31/21,Dana  Temple,clinic1073@fmc-na.Com,(318) 878-9072,(318) 878-9075,8,117
End Stage Renal Disease,DeRidder Dialysis,239 East First Street ,DERIDDER,LA,70634,BEAUREGARD,5200 VIRGINIA WAY L&C DEPT,BRENTWOOD,TN,37027,4/8/04,3/31/22,Lydia  Earl,lydia.earl@davita.com,(337) 462-0950,(337) 460-1933,5,130
End Stage Renal Disease,Dialysis Center of Shreveport,3949 Southern Avenue ,SHREVEPORT,LA,71106,CADDO,3850 N. CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,2/6/03,1/31/22,CINDI  ADDISON,Clinic1357@fmc-na.com,(318) 869-3016,(318) 869-3602,7,007
End Stage Renal Disease,Dialysis Clinic Inc. ,2708 E. Main Street ,NEW IBERIA,LA,70560,IBERIA,2708 E. MAIN STREET,NEW IBERIA,LA,70560,10/3/17,9/30/21,Kim  LEBLANC,kim.leblanc@dciinc.org,(337) 369-9552,(337) 369-9553,4,2203783551
End Stage Renal Disease,"Dialysis Clinic, Inc. ",222 Saint Nazaire Rd ,BROUSSARD,LA,70518,LAFAYETTE,222 SAINT NAZAIRE RD.,BROUSSARD,LA,70518,10/28/19,9/30/21,Kim  Leblanc,Kim.leblanc@dciinc.org,(337) 839-0469,(337) 839-0470,4,2203784451
End Stage Renal Disease,"Dialysis Clinic, Inc. - Crowley",1325 Wright Avenue Suite B ,CROWLEY,LA,70526,ACADIA,1325 WRIGHT AVENUE SUITE B ,CROWLEY,LA,70526,5/5/03,4/30/22,Kim  Leblanc,kim.leblanc@dciinc.org ,(337) 788-1990,(337) 788-1967,4,027
End Stage Renal Disease,"Dialysis Clinic, Inc. - East Shreveport",102 Ardmore Avenue ,SHREVEPORT,LA,71105,CADDO,102 ARDMORE AVENUE ,SHREVEPORT,LA,71105,2/11/03,1/31/22,Ms. Constance Thomas,Constance.thomas@dciinc.org,(318) 861-5051,(318) 861-5054,7,008
End Stage Renal Disease,"Dialysis Clinic, Inc. - Gretna",1010 Behrman Highway ,GRETNA,LA,70056,JEFFERSON,1010 BEHRMAN HIGHWAY ,GRETNA,LA,70056,5/14/03,4/30/22,Mike  Lavigne,mike.Lavigne@dciinc.org,(504) 391-9572,(504) 391-0248,1,067
End Stage Renal Disease,"Dialysis Clinic, Inc. - Jennings",1322 Elton Road Suite C ,JENNINGS,LA,70546,JEFFERSON DAVIS,1322 ELTON ROAD SUITE C ,JENNINGS,LA,70546,3/2/07,1/31/22,KIM  LEBLANC,Kim.LeBlanc@dciinc.org,(337) 616-8232,(337) 616-8233,5,162
End Stage Renal Disease,"Dialysis Clinic, Inc. - New Orleans East","2077 Caton Street , Suite A ",NEW ORLEANS,LA,70122,ORLEANS,1010 BEHRMAN HWY.,GRETNA,LA,70056,2/12/03,12/31/21,Ms. Kassidy Addison,Arnella.Chatman@dciinc.org,(504) 242-3770,(504) 242-9937,1,2203783471
End Stage Renal Disease,"Dialysis Clinic, Inc. - Shreveport",1322 Kings Highway ,SHREVEPORT,LA,71103,CADDO,1322 KINGS HWY.,SHREVEPORT,LA,71103,7/2/03,6/30/22,Ms. Constance Thomas,Constance.Thomas@dciinc.org,(318) 226-1020,(318) 424-1179,7,062
End Stage Renal Disease,"Dialysis Clinic, Inc. - St. James ",2020 Bert Kouns Industrial Loop,SHREVEPORT,LA,71118,CADDO,2020 BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,LA,71118,4/16/18,3/31/22,Constance  Thomas,constance.thomas@dciinc.org,(318) 683-4475,(318) 683-4476,7,2203783883
End Stage Renal Disease,"Dialysis Clinic, Inc. - Tulane","1661 Canal St., Suite 1001",NEW ORLEANS,LA,70112,ORLEANS,1010 BEHRMAN HWY ,GRETNA,LA,70056,2/17/03,2/28/22,Mike  Lavigne,Mike.Lavigne@dciinc.org ,(504) 581-4957,(504) 581-4964,1,2203782326
End Stage Renal Disease,"Dialysis Clinic,Inc.- North Shreveport",1515 N Hearne Avenue ,SHREVEPORT,LA,71107,CADDO,1515 N HEARNE AVENUE ,SHREVEPORT,LA,71107,2/2/05,1/31/22,Ms. Constance Thomas,Constance.thomas@dciinc.org,(318) 220-7012,(318) 220-7013,7,140
End Stage Renal Disease,"Dialysis Systems of Covington, LLC",210 Greenbriar Blvd.,COVINGTON,LA,70433,ST. TAMMANY,5200 VIRGINA WAY L&C DEPT 4TH FLOOR,BRENTWOOD,TN,37027,7/3/03,6/30/21,Katherine  Cuadrado,Katherine.Cuadrado@davita.com,(985) 875-1915,(985) 875-1918,9,065
End Stage Renal Disease,Earhart Dialysis ,7730 Earhart Blvd.,NEW ORLEANS,LA,70125,JEFFERSON,5200 VIRGINIA WAY L& C DEPT.,BRENTWOOD,TN,37027,2/2/17,1/31/22,Josh  Gates,Jacky.Jones@davita.com ,(504) 861-1256,(504) 861-5082,1,2203783049
End Stage Renal Disease,East Baton Rouge Dialysis,1333 O'Neal Lane ,BATON ROUGE,LA,70816,EAST BATON ROUGE,5200 VIRGINIA WAY  L&C DEPARTMENT ,BRENTWOOD,TN,37027,4/23/03,3/31/22,Melissa  English,melissa.english@Davita.com,(225) 226-1444,(225) 272-9857,2,155
End Stage Renal Disease,East Jefferson Artificial Kidney Center,4425 Utica Street ,METAIRIE,LA,70006,JEFFERSON,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,4/29/03,3/31/22,Danielle  Fontenot,Clinic1234@fmc-na.com,(504) 455-5535,(504) 455-5253,1,045
End Stage Renal Disease,Essen Lane Dialysis ,7703 Picardy Ave.,BATON ROUGE,LA,70808,EAST BATON ROUGE,5200 VIRGINIA WAY L & C DEPT ,BRENTWOOD,TN,37027,5/6/14,5/31/22,Ashley  Pero,Ashley.Pero@davita.com,(225) 769-8669,(225) 766-0095,2,2203782001
End Stage Renal Disease,Fleur de Lis Dialysis,"5555 Bullard Avenue, Suite 110 ",NEW ORLEANS,LA,70128,ORLEANS,5200 VIRGINIA WAY L&C DEPT ,BRENTWOOD,TN,37027,9/30/03,4/30/22,Josh  Gates,Juan.CastilloJr@davita.com,(504) 240-2696,(504) 240-2877,1,186
End Stage Renal Disease,Florida Parishes Artificial Kidney Center,"16081 Doctors Blvd., Suite A ",HAMMOND,LA,70403,TANGIPAHOA,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,11/5/03,9/30/21,Sean  Gilson,Clinic1233@fmc-na.com,(985) 345-5621,(985) 345-5622,9,092
End Stage Renal Disease,FMC Dialysis Services Avondale,141 South Jamie Boulevard ,AVONDALE,LA,70094,JEFFERSON,3850 N CAUSEWAY  BLVD.SUITE 1400 ,METAIRIE,LA,70002,1/26/04,12/31/21,Danielle  Fontenot,clinic2201@fmc-na.com,(504) 342-7773,(504) 342-9646,1,120
End Stage Renal Disease,FMC Dialysis Services Breaux Bridge,"100  Champagne Boulevard, Building A ",BREAUX BRIDGE,LA,70517,ST. MARTIN,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,7/25/03,6/30/22,Kristen  Pellerin,clinic2663@fmc-na.com,(337) 332-6813,(337) 332-6779,4,073
End Stage Renal Disease,FMC Dialysis Services Caldwell Parish,7720 Hwy 165 Suite 3 ,COLUMBIA,LA,71418,CALDWELL,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,4/29/03,3/31/22,Denea (Pam)  Black,Clinic2043@fmc-na.com,(318) 649-2113,(318) 649-7804,8,028
End Stage Renal Disease,FMC Dialysis Services Coushatta,501 Wilkerson Street ,COUSHATTA,LA,71019,RED RIVER,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,1/31/03,12/31/21,TODD  MOONEY,clinic2675@fmc-na.com,(318) 932-5378,(318) 932-8108,7,017
End Stage Renal Disease,FMC Dialysis Services East Minden,1000 Industrial Drive ,MINDEN,LA,71055,WEBSTER,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,1/28/03,12/31/21,James  Carman,clinic2203@fmc-na.com ,(318) 371-9400,(318) 371-6782,7,009
End Stage Renal Disease,FMC Dialysis Services Felicianas,2995 Race Street ,JACKSON,LA,70748,EAST FELICIANA,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,3/26/03,8/31/21,Terry  Bellon,clinic8885@fmc-na.com,(225) 634-2733,(225) 634-2844,2,2203781848
End Stage Renal Disease,FMC Dialysis Services North Boulevard,2661 North Boulevard ,BATON ROUGE,LA,70806,EAST BATON ROUGE,"3850 NORTH CAUSEWAY BLVD., SUITE  1400 ",METAIRIE,LA,70002,3/20/03,8/31/21,Lajuanda  Daigle,clinic8883@fmc-na.com,(225) 387-5777,(225) 387-5732,2,2203781842
End Stage Renal Disease,FMC Dialysis Services of Bon Carre,7656 Realtors Avenue ,BATON ROUGE,LA,70806,EAST BATON ROUGE,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,2/21/05,8/31/21,Terry  Bellon, clinic8887@fmc-na.com,(225) 216-0388,(225) 216-0387,2,2203781869
End Stage Renal Disease,FMC Dialysis Services South Alexandria,1915 Beatrice Street ,ALEXANDRIA,LA,71301,RAPIDES,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,5/8/03,4/30/22,MR David  Powe,clinic2055@fmc-na.com,(318) 487-8333,(318) 487-0933,6,033
End Stage Renal Disease,FMC Dialysis Services South Shreveport,410 Ashley Ridge Boulevard ,SHREVEPORT,LA,71106,CADDO,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,12/23/03,11/30/21,TODD  MOONEY,Clinic2206@fmc-na.com,(318) 868-8320,(318) 861-2337,7,114
End Stage Renal Disease,FMC Dialysis Services Sunset,115 Acorn Drive ,SUNSET,LA,70584,ST. LANDRY,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,6/18/03,5/31/22,Rene  Simon,Clinic2927@fmc-na.com,(337) 662-3702,(337) 662-3779,4,052
End Stage Renal Disease,FMC Dialysis Services West Lafayette,2804 Ambassador Caffery Parkway ,LAFAYETTE,LA,70506,LAFAYETTE,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,12/13/02,11/30/21,Rene  Simon,Clinic2647@fmc-na.com,(337) 984-7299,(337) 984-5772,4,001
End Stage Renal Disease,FMC Dialysis Services-Ville Platte,616 Jack Miller Road ,VILLE PLATTE,LA,70586,EVANGELINE,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,6/18/03,5/31/22,Travis  Hilton,clinic2160@fmc-na.com,(337) 363-1275,(337) 363-1329,4,050
End Stage Renal Disease,FMC Eunice,1101 Nile Street ,EUNICE,LA,70535,ST. LANDRY,3850 N CAUSEWAY SUITE 1400 ,METAIRIE,LA,70002,7/15/03,6/30/22,Sandi  Moore,Clinic2000@fmc-na.Com,(337) 550-6585,(337) 550-7516,4,069
End Stage Renal Disease,FMC Farmerville Dialysis,108 W. Hill Street ,FARMERVILLE,LA,71241,UNION,"3850 N CAUSEWAY BLVD., SUITE  1400 ",METAIRIE,LA,70002,4/12/04,3/31/22,Pam  Black,clinic2430@fmc-na.com,(318) 368-3337,(318) 368-3370,8,135
End Stage Renal Disease,FMC of Many,100 Devera Drive ,MANY,LA,71449,SABINE,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,1/9/07,11/30/21,Todd  Mooney,Clinic4238@fmc-na.com,(318) 256-3122,(318) 256-1231,7,160
End Stage Renal Disease,FMCNA Dialysis Services of West Shreveport,4338 Pines Road ,SHREVEPORT,LA,71119,CADDO,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,6/16/03,5/31/22,CINDI  ADDISON,Clinic2758@fmc-na.com,(318) 621-0750,(318) 621-0733,7,040
End Stage Renal Disease,FMCNA Greater Baton Rouge Home Program ,5399 Mancuso Lane,BATON ROUGE,LA,70809,EAST BATON ROUGE,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,3/28/17,3/31/22,Lajuanda  Daigle,clinic100022@fmc-na.com,(225) 819-2036,(225) 819-2040,2,2203783173
End Stage Renal Disease,FMS Baton Rouge Foster Drive Dialysis Services,1919 North Foster Drive ,BATON ROUGE,LA,70806,EAST BATON ROUGE,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,7/1/03,8/31/21,Kathy  Darr,clinic8874@fmc-na.com,(225) 354-1611,(225) 354-1655,2,2203781851
End Stage Renal Disease,Fremaux Dialysis,1566 Shortcut Hwy,SLIDELL,LA,70458,ST. TAMMANY,5200 VIRGINIA WAY  ATTN : L & C DEPT.,BRENTWOOD,TN,37027,9/18/14,9/30/21,Kathy  Cuadrado,Katherine.Cuadrado@davita.com,(985) 643-9237,(985) 726-0400,9,2203782156
End Stage Renal Disease,Fresenius Kidney Care Abita,21501 Hwy. 36 ,ABITA SPRINGS,LA,70420,ST. TAMMANY,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,4/15/11,12/31/21,Sean  Gilson,sean.gilson@fmc-na.com,(985) 898-4898,(985) 898-3848,9,2203783921
End Stage Renal Disease,Fresenius Kidney Care Algiers,2908 General DeGaulle Drive ,NEW ORLEANS,LA,70114,JEFFERSON,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,8/21/18,5/31/22,Andrew  Montz,clinic100165@fmc-na.com,(504) 227-1521,(504) 227-1530,1,2203784062
End Stage Renal Disease,Fresenius Kidney Care Amite,207 West Mulberry St. ,AMITE,LA,70422,TANGIPAHOA,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,11/3/03,10/31/21,Sean  Gilson,sean.gilson@fmc-na.com,(985) 748-8285,(985) 748-8229,9,2203783924
End Stage Renal Disease,Fresenius Kidney Care Bayou Roberts ,5820 Masonic Drive ,ALEXANDRIA,LA,71301,RAPIDES,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,3/26/19,3/31/22,David  Powe,david.powe@fmc-na.com,(318) 448-7069,(318) 448-7070,6,2203784246
End Stage Renal Disease,Fresenius Kidney Care Calcasieu Parish Dialysis,1000 Beglis Parkway ,SULPHUR,LA,70663,CALCASIEU,"3850 N. CAUSEWAY BLVD, SUITE 1400",METAIRIE,LA,70002,8/14/18,8/31/21,Rene  Simon,Rene.Simon@fmc-na.com,(337) 625-6777,(337) 625-6778,5,2203784035
End Stage Renal Disease,Fresenius Kidney Care Chalmette,3027 Jean Lafitte Pkwy,CHALMETTE,LA,70043,ST. BERNARD,3850 N CAUSEWAY  SUITE 1400,METAIRIE,LA,70002,5/8/18,4/30/22,Scott  Riddell,clinic100076@fmc-na.com,(504) 682-2877,(504) 682-2878,1,2203783985
End Stage Renal Disease,Fresenius Kidney Care East Houma,707 Grand Caillou Road ,HOUMA,LA,70363,TERREBONNE,3850 N CAUSEWAY BLVD STE1400,METAIRIE,LA,70002,2/11/11,2/28/22,Danielle  Fontenot,clinic100472@fmc-na.com,(985) 262-4143,(985) 262-4458,3,2203783379
End Stage Renal Disease,Fresenius Kidney Care East Lake Charles,3214 Venture Park Drive ,LAKE CHARLES,LA,70615,CALCASIEU,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,12/16/03,3/31/22,Rene  Simon,clinic100412@fmc-na.com,(337) 478-4846,(337) 478-4849,5,2203784244
End Stage Renal Disease,Fresenius Kidney Care Gentilly ,6101 Elysian Fields Avenue ,NEW ORLEANS,LA,70122,JEFFERSON,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,3/26/19,3/31/22,Scott  Riddell,Scott.Riddell@fmc-na.com,(504) 226-3111,(504) 226-3113,1,2203784245
End Stage Renal Disease,Fresenius Kidney Care Houma Home Program,143 War Horse Place ,HOUMA,LA,70360,TERREBONNE,3850 N. CAUSEWAY STE 1400,METAIRIE,LA,70002,3/26/18,2/28/22,Nancy  Landrieu,clinic9269@fmc-na.com,(985) 851-6634,(985) 851-8368,3,2203783836
End Stage Renal Disease,Fresenius Kidney Care Kenner Home Therapies,"3409 WILLIAMS BLVD, Ste 2",KENNER,LA,70065,JEFFERSON,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,5/8/14,2/28/22,Nancy  Landrieu,clinic100473@fmc-na.com,(504) 305-1980,(504) 305-1688,1,2203783353
End Stage Renal Disease,Fresenius Kidney Care Lake Charles Home,330 Chavanne Street,LAKE CHARLES,LA,70601,CALCASIEU,330 CHAVANNE STREET,LAKE CHARLES,LA,70601,2/9/21,1/31/22,Robin Martin,Bridget.Robideaux@fmc-na.com,(337) 990-6100,(337) 990-6110,5,2203784865
End Stage Renal Disease,"Fresenius Kidney Care Leesville, LLC","900 North 5th Street, Suite #5 ",LEESVILLE,LA,71446,VERNON,P.O. BOX 620 ,LEESVILLE,LA,71496,1/6/04,10/31/21,Mr. David Powe,david.powe@fmc-na.com,(337) 392-5122,(337) 392-1192,6,2203784884
End Stage Renal Disease,Fresenius Kidney Care Marksville ,634 Tunica Drive W.,MARKSVILLE,LA,71351,AVOYELLES,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,3/19/19,3/31/22,David  Powe,clinic100810@fmc-na.com,(318) 253-4376,(318) 253-4377,6,2203784234
End Stage Renal Disease,Fresenius Kidney Care New Orleans Downtown,2235 Poydras St.,NEW ORLEANS,LA,70119,JEFFERSON,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,10/19/18,10/31/21,Andrew  Montz,clinic9459@fmc-na.com,(504) 821-2220,(504) 821-2431,1,2203784121
End Stage Renal Disease,Fresenius Kidney Care New Orleans Uptown,2500 Louisiana Avenue ,NEW ORLEANS,LA,70115,JEFFERSON,"3850 N.CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,8/21/18,8/31/21,Scott  Riddell,Scott.Riddell@fmc-na.com,(504) 891-8608,(504) 891-9089,1,2203784061
End Stage Renal Disease,Fresenius Kidney Care North Caddo Dialysis Center,110 Airport Drive ,VIVIAN,LA,71082,CADDO,3850 N. CAUSEWAY STE 1400,METAIRIE,LA,70002,6/11/18,5/31/22,Cindi  Addison,cindi.addison@fmc-na.com,(318) 375-2787,(318) 375-2792,7,2203783965
End Stage Renal Disease,Fresenius Kidney Care North Thibodaux,108 Westover Dr. ,THIBODAUX,LA,70301,LAFOURCHE,3850 N CAUSEWAY SUITE 1400 ,METAIRIE,LA,70002,7/1/18,3/31/22,Danielle  Fontenot,clinic100164@fmc-na.com,(985) 446-1389,(985) 446-1390,3,2203783874
End Stage Renal Disease,Fresenius Kidney Care O''Neal Lane ,1280 O'Neal Lane ,BATON ROUGE,LA,70816,EAST BATON ROUGE,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,3/6/06,3/31/22,Terry  Bellon,clinic100116@fmc-na.com,(225) 272-2212,(225) 272-2262,2,2203783559
End Stage Renal Disease,Fresenius Kidney Care of Central Louisiana ,4715 South MacArthur Drive  ,ALEXANDRIA,LA,71302,RAPIDES,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,3/2/17,2/28/22,David Powe,David.Powe@fmc-na.com,(318) 427-4705,(318) 427-9292,6,2203783174
End Stage Renal Disease,Fresenius Kidney Care Ouachita Home,"401 Thomas Road, Suite D",WEST MONROE,LA,71292,OUACHITA,"401 THOMAS ROAD, SUITE D",WEST MONROE,LA,71292,2/8/21,1/31/22,Rhonda Zuga,rhonda.zuga@fmc-na.com,(318) 816-7140,(318) 224-4839,8,2203784856
End Stage Renal Disease,Fresenius Kidney Care Tchefuncte River,"397 Highway 21, Suite 602 ",MADISONVILLE,LA,70447,ST. TAMMANY,3850 N. CAUSEWAY BLVD STE 1400,METAIRIE,LA,70002,5/25/05,11/30/21,Alisha  Showalter,Clinic100741@fmc-na.com,(985) 792-5334,(985) 792-5234,9,2203783925
End Stage Renal Disease,Fresenius Kidney Care Veterans Memorial Dialysis Center ,1820 Veterans Memorial Drive ,ABBEVILLE,LA,70510,VERMILION,"3850 N CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,7/26/18,6/30/22,Kristie  Pellerin,Clinic100526@fmc-na.com,(337) 898-1932,(337) 898-1933,4,2203784014
End Stage Renal Disease,Fresenius Kidney Care Walker ,29250 Walker South Road ,WALKER,LA,70785,LIVINGSTON,3850 N. CAUSEWAY BLVD. SUITE  100,METAIRIE,LA,70002,11/8/06,8/31/21,Terry  Bellon,Terry.bellon@fmc-na.com,(225) 667-0768,(225) 667-0769,9,2203783439
End Stage Renal Disease,Fresenius Kidney Care Washington Parish ,2219 Main Street ,FRANKLINTON,LA,70438,WASHINGTON,"3850 N CAUSEWAY, SUITE 1400",METAIRIE,LA,70002,8/6/18,8/31/21,Sean  Gilson,Sean.Gilson@fmc-na.com,(985) 839-3605,(985) 839-3606,9,2203784028
End Stage Renal Disease,Fresenius Medical Care - Ferriday," 2004 Carter Street, Suite A ",VIDALIA,LA,71373,CONCORDIA,3850 N CAUSEWAY BLVD  SUITE  1400 ,METAIRIE,LA,70002,1/28/04,6/30/22,Donald  Jenkinson,clinic4724@fmc-na.com,(337) 332-6813,(337) 332-6779,6,2203782416
End Stage Renal Disease,Fresenius Medical Care Ascension,17392 Vallee Court ,PRAIRIEVILLE,LA,70769,ASCENSION,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,4/21/03,8/31/21,MR Terry  Bellon,Clinic8884@fmc-na.com,(225) 622-0685,(225) 622-7527,2,2203781833
End Stage Renal Disease,Fresenius Medical Care Baker,4353 Groom Road,BAKER,LA,70714,EAST BATON ROUGE,"3850 N. CAUSEWAY BLVD. , SUITE 1400",METAIRIE,LA,70002,6/16/03,8/31/21,MS Kathy  Darr,clinic8876@fmc-na.com,(225) 775-0217,(225) 775-7279,2,2203781909
End Stage Renal Disease,Fresenius Medical Care Barataria,"1849 Barataria Blvd., Suite A ",MARRERO,LA,70072,JEFFERSON,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,10/8/08,9/30/21,Danielle  Fontenot,Clinic5426@fmc-na.com,(504) 347-4228,(504) 347-4229,1,180
End Stage Renal Disease,Fresenius Medical Care Beauregard Parish Dialysis,602 W. 1st Street,DERIDDER,LA,70634,BEAUREGARD,"3850 N. CAUSEWAY BLVD., STE. 1400",METAIRIE,LA,70002,8/25/20,7/31/21,Rene  Simon,clinic100963@fmc-na.com,(337) 401-3545,(337) 348-0342,5,2203784697
End Stage Renal Disease,Fresenius Medical Care Central Lake Charles Dialysis,2309 Ryan Street ,LAKE CHARLES,LA,70601,CALCASIEU,"3850 N. CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,4/22/10,3/31/22,Rene  Simon,Clinic6456@fmc-na.com,(337) 436-5406,(337) 436-5838,5,192
End Stage Renal Disease,Fresenius Medical Care Crescent City Home Program,3030 North Arnoult Road Suite B ,METAIRIE,LA,70002,JEFFERSON,3850 NORTH CAUSEWAY BLVD SUITE 1400,METAIRIE,LA,70002,6/8/15,5/31/22,Nancy  Landrieu,clinic8644@fmc-na.com,(504) 454-6989,(504) 455-6311,1,2203782359
End Stage Renal Disease,Fresenius Medical Care Denham Springs,137 Veterans Blvd ,DENHAM SPRINGS,LA,70726,LIVINGSTON,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,1/3/08,8/31/21,MS Kathy  Darr,Clinic8886@fmc-na.com ,(225) 665-2796,(225) 665-6813,9,2203781907
End Stage Renal Disease,Fresenius Medical Care Donaldsonville,101 Plimsol Drive ,DONALDSONVILLE,LA,70346,ASCENSION,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,4/25/03,7/31/21,Terry  Bellon,Clinic9090@fmc-na.com,(225) 473-1139,(225) 473-1128,2,2203782302
End Stage Renal Disease,Fresenius Medical Care Gonzales ,2326 South Darla Avenue ,GONZALES,LA,70737,ASCENSION,"3850 N. CAUSEWAY BLVD., SUITE  1400",METAIRIE,LA,70002,12/29/15,11/30/21,Terry  Bellon,Clinic8695@fmc-na.com,(225) 647-4814,(225) 647-4825,2,2203782584
End Stage Renal Disease,Fresenius Medical Care Howell Place,7707 Howell Place Blvd ,BATON ROUGE,LA,70807,EAST BATON ROUGE,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,6/22/10,8/31/21,MS Kathy  Darr,clinic8888@fmc-na.com,(225) 357-3798,(225) 357-3799,2,2203781836
End Stage Renal Disease,Fresenius Medical Care J H Lee Kidney Center ,5348 Flanders Drive,BATON ROUGE,LA,70808,EAST BATON ROUGE,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,3/2/15,2/28/22,Lajuanda  Daigle,clinic8877@fmc-na.com,(225) 766-3761,(225) 766-4959,2,2203782299
End Stage Renal Disease,Fresenius Medical Care Kenner,2717 Decatur Street ,KENNER,LA,70062,JEFFERSON,"3850 N CAUSEWAY BLVD, SUITE 1400 ",METAIRIE,LA,70002,6/21/07,5/31/22,Danielle  Fontenot,Clinic4145@fmc-na.com ,(504) 469-1075,(504) 469-2873,1,167
End Stage Renal Disease,Fresenius Medical Care Kentwood,916 Avenue G ,KENTWOOD,LA,70444,TANGIPAHOA,3850 N CAUSEWAY BLVD SUITE 1400 ,METAIRIE,LA,70002,12/1/03,8/31/21,Sean  Gilson, clinic2756@fmc-na.com,(985) 229-8018,(985) 229-8078,9,149
End Stage Renal Disease,Fresenius Medical Care Lake Forest ,10545 Lake Forest Blvd.,NEW ORLEANS,LA,70127,ORLEANS,"3850 N. CAUSEWAY BLVD., SUITE 1400",METAIRIE,LA,70002,3/4/15,2/28/22,Danielle  Fontenot,clinic9246@fmc-na.com,(504) 248-4910,(504) 248-4914,1,2203782300
End Stage Renal Disease,"Fresenius Medical Care Laplace, LLC ",704 Belle Terre Blvd.,LA PLACE,LA,70068,ST. JOHN THE BAPTIST,3850 N. CAUSEWAY STE 1400,METAIRIE,LA,70002,8/2/17,8/31/21,Scott  Riddell,Clinic100023@fmc-na.com,(985) 652-0029,(985) 652-0030,3,2203783455
End Stage Renal Disease,Fresenius Medical Care Mancuso,"4848 Mancuso Lane , Suite A ",BATON ROUGE,LA,70809,EAST BATON ROUGE,"3850 N CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,6/17/03,8/31/21,Lajuanda  Daigle,Clinic8889@fmc-na.com,(225) 766-6773,(225) 766-6774,2,2203781838
End Stage Renal Disease,Fresenius Medical Care Morehouse Parish Dialysis,530 Durham Street ,BASTROP,LA,71220,MOREHOUSE,"3850 NORTH CAUSEWAY BLVD., SUITE 1400 ",METAIRIE,LA,70002,9/15/05,3/31/22,Mia  Haney,Clinic6880@fmc-na.com,(318) 281-3725,(318) 281-3727,8,184
